"priority","title_id","side","target_format","target_drive_models","min_captures_per_side","metadata_template","oracle_template","status","notes"
"P0","l5_archive_actionfighter_11209_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=actionfighter_11209_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_amazon_c64","A;B","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_ab","archive.org id=amazon_c64; downloaded=2 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_apollo18_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=apollo18_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_archon_102402_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=archon_102402_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_batmanthecapedcrusader_406017100_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=batmanthecapedcrusader_406017100_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_beachheadv50_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=beachheadv50_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_commodorevic1541testdemo","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=commodorevic1541testdemo; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_copyq_v11_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=copyq_v11_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_ghostbusters_dd10804_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=ghostbusters_dd10804_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_jeopardyfirstedition_110690_c64","A;B","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_ab","archive.org id=jeopardyfirstedition_110690_c64; downloaded=2 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_mach5diskdiskorganizer_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=mach5diskdiskorganizer_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_microsoftmultiplan106hesware_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=microsoftmultiplan106hesware_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_musicalc_c64","A","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_partial","archive.org id=musicalc_c64; downloaded=1 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_outrun_11201_c64","A;B","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_ab","archive.org id=outrun_11201_c64; downloaded=2 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
"P0","l5_archive_piratesv132x01_c64","A;B","g64","1541;1541C;1541-II","2","datasets/level5/metadata/archive_org/<generated>.metadata.json","datasets/level5/oracles/archive_org/<generated>.oracle.json","sourced_ab","archive.org id=piratesv132x01_c64; downloaded=2 file(s); requires raw multi-capture + calibrated oracle for L5 promotion"
