"priority","title_id","side","capture_id","target_file","metadata_file","oracle_file","status","notes"
"P0","l5_archive_actionfighter_11209_c64","A","cap01","datasets/level5/raw_flux/l5_archive_actionfighter_11209_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_actionfighter_11209_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_actionfighter_11209_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_actionfighter_11209_c64","A","cap02","datasets/level5/raw_flux/l5_archive_actionfighter_11209_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_actionfighter_11209_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_actionfighter_11209_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_amazon_c64","A","cap01","datasets/level5/raw_flux/l5_archive_amazon_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_amazon_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_amazon_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_amazon_c64","A","cap02","datasets/level5/raw_flux/l5_archive_amazon_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_amazon_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_amazon_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_amazon_c64","B","cap01","datasets/level5/raw_flux/l5_archive_amazon_c64_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_amazon_c64_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_amazon_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_amazon_c64","B","cap02","datasets/level5/raw_flux/l5_archive_amazon_c64_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_amazon_c64_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_amazon_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_apollo18_c64","A","cap01","datasets/level5/raw_flux/l5_archive_apollo18_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_apollo18_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_apollo18_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_apollo18_c64","A","cap02","datasets/level5/raw_flux/l5_archive_apollo18_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_apollo18_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_apollo18_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_archon_102402_c64","A","cap01","datasets/level5/raw_flux/l5_archive_archon_102402_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_archon_102402_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_archon_102402_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_archon_102402_c64","A","cap02","datasets/level5/raw_flux/l5_archive_archon_102402_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_archon_102402_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_archon_102402_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_batmanthecapedcrusader_406017100_c64","A","cap01","datasets/level5/raw_flux/l5_archive_batmanthecapedcrusader_406017100_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_batmanthecapedcrusader_406017100_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_batmanthecapedcrusader_406017100_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_batmanthecapedcrusader_406017100_c64","A","cap02","datasets/level5/raw_flux/l5_archive_batmanthecapedcrusader_406017100_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_batmanthecapedcrusader_406017100_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_batmanthecapedcrusader_406017100_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_beachheadv50_c64","A","cap01","datasets/level5/raw_flux/l5_archive_beachheadv50_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_beachheadv50_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_beachheadv50_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_beachheadv50_c64","A","cap02","datasets/level5/raw_flux/l5_archive_beachheadv50_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_beachheadv50_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_beachheadv50_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_ghostbusters_dd10804_c64","A","cap01","datasets/level5/raw_flux/l5_archive_ghostbusters_dd10804_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_ghostbusters_dd10804_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_ghostbusters_dd10804_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_ghostbusters_dd10804_c64","A","cap02","datasets/level5/raw_flux/l5_archive_ghostbusters_dd10804_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_ghostbusters_dd10804_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_ghostbusters_dd10804_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_jeopardyfirstedition_110690_c64","A","cap01","datasets/level5/raw_flux/l5_archive_jeopardyfirstedition_110690_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_jeopardyfirstedition_110690_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_jeopardyfirstedition_110690_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_jeopardyfirstedition_110690_c64","A","cap02","datasets/level5/raw_flux/l5_archive_jeopardyfirstedition_110690_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_jeopardyfirstedition_110690_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_jeopardyfirstedition_110690_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_jeopardyfirstedition_110690_c64","B","cap01","datasets/level5/raw_flux/l5_archive_jeopardyfirstedition_110690_c64_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_jeopardyfirstedition_110690_c64_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_jeopardyfirstedition_110690_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_jeopardyfirstedition_110690_c64","B","cap02","datasets/level5/raw_flux/l5_archive_jeopardyfirstedition_110690_c64_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_jeopardyfirstedition_110690_c64_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_jeopardyfirstedition_110690_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_mach5diskdiskorganizer_c64","A","cap01","datasets/level5/raw_flux/l5_archive_mach5diskdiskorganizer_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_mach5diskdiskorganizer_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_mach5diskdiskorganizer_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_mach5diskdiskorganizer_c64","A","cap02","datasets/level5/raw_flux/l5_archive_mach5diskdiskorganizer_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_mach5diskdiskorganizer_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_mach5diskdiskorganizer_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_microsoftmultiplan106hesware_c64","A","cap01","datasets/level5/raw_flux/l5_archive_microsoftmultiplan106hesware_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_microsoftmultiplan106hesware_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_microsoftmultiplan106hesware_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_microsoftmultiplan106hesware_c64","A","cap02","datasets/level5/raw_flux/l5_archive_microsoftmultiplan106hesware_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_microsoftmultiplan106hesware_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_microsoftmultiplan106hesware_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_musicalc_c64","A","cap01","datasets/level5/raw_flux/l5_archive_musicalc_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_musicalc_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_musicalc_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_musicalc_c64","A","cap02","datasets/level5/raw_flux/l5_archive_musicalc_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_musicalc_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_musicalc_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_outrun_11201_c64","A","cap01","datasets/level5/raw_flux/l5_archive_outrun_11201_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_outrun_11201_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_outrun_11201_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_outrun_11201_c64","A","cap02","datasets/level5/raw_flux/l5_archive_outrun_11201_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_outrun_11201_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_outrun_11201_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_outrun_11201_c64","B","cap01","datasets/level5/raw_flux/l5_archive_outrun_11201_c64_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_outrun_11201_c64_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_outrun_11201_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_outrun_11201_c64","B","cap02","datasets/level5/raw_flux/l5_archive_outrun_11201_c64_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_outrun_11201_c64_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_outrun_11201_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_piratesv132x01_c64","A","cap01","datasets/level5/raw_flux/l5_archive_piratesv132x01_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_piratesv132x01_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_piratesv132x01_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_piratesv132x01_c64","A","cap02","datasets/level5/raw_flux/l5_archive_piratesv132x01_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_piratesv132x01_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_piratesv132x01_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_piratesv132x01_c64","B","cap01","datasets/level5/raw_flux/l5_archive_piratesv132x01_c64_sideB_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_piratesv132x01_c64_sideB_cap01.metadata.json","datasets/level5/oracles/l5_archive_piratesv132x01_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_piratesv132x01_c64","B","cap02","datasets/level5/raw_flux/l5_archive_piratesv132x01_c64_sideB_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_piratesv132x01_c64_sideB_cap02.metadata.json","datasets/level5/oracles/l5_archive_piratesv132x01_c64_sideB.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_poleposition_da10346_c64","A","cap01","datasets/level5/raw_flux/l5_archive_poleposition_da10346_c64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_poleposition_da10346_c64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_poleposition_da10346_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_poleposition_da10346_c64","A","cap02","datasets/level5/raw_flux/l5_archive_poleposition_da10346_c64_sideA_gw_cap02_25000000hz.raw","datasets/level5/metadata/l5_archive_poleposition_da10346_c64_sideA_cap02.metadata.json","datasets/level5/oracles/l5_archive_poleposition_da10346_c64_sideA.oracle.json","pending","Capture with Greaseweazle; same disk/media condition; no retries in strict baseline."
"P0","l5_archive_billbudgepinballconstructionsetcommodore64","A","cap01","datasets/level5/raw_flux/l5_archive_billbudgepinballconstructionsetcommodore64_sideA_gw_cap01_25000000hz.raw","datasets/level5/metadata/l5_archive_billbudgepinballconstructionsetcommodore64_sideA_cap01.metadata.json","datasets/level5/oracles/l5_archive_billbudgepinballconstructionsetcommodore64_sideA.oracle.json","pending","Capture with Greaseweazle from Archive.org source media; same disk/media condition; no retries in strict baseline."
