"title_id","side","ingest_format","ingestion_gate_status","raw_flux_available","captures_per_side","min_required_captures","metadata_calibrated","oracle_calibrated","ready_for_l5_promotion","blocker"
"l5_archive_actionfighter_11209_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_amazon_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_amazon_c64","B","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_apollo18_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_archon_102402_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_batmanthecapedcrusader_406017100_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_beachheadv50_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_commodorevic1541testdemo","A","g64","pass","yes","2","2","partial","partial","no","cross-title proxy only: requires same-title raw captures and calibrated oracle"
"l5_archive_copyq_v11_c64","A","g64","pass","yes","2","2","partial","partial","no","cross-title proxy only: requires same-title raw captures and calibrated oracle"
"l5_archive_ghostbusters_dd10804_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_jeopardyfirstedition_110690_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_jeopardyfirstedition_110690_c64","B","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_mach5diskdiskorganizer_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_microsoftmultiplan106hesware_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_musicalc_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_outrun_11201_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_outrun_11201_c64","B","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_piratesv132x01_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_piratesv132x01_c64","B","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_poleposition_da10346_c64","A","g64","pass","no","1","2","no","no","no","missing_raw_flux_and_multicapture_and_calibrated_metadata_oracle"
"l5_archive_billbudgepinballconstructionsetcommodore64","A","raw","pass","yes","2","2","partial","partial","no","archive_raw_imported_cap01_cap02_with_bootstrap_metadata_oracle_needs_same_media_greaseweazle_calibration"
"l5_archive_transylvania_c_64_atari","A","raw","pass","yes","1","2","partial","partial","no","archive_raw_imported_track00_0_with_bootstrap_metadata_oracle_needs_cap02_same_media_greaseweazle_calibration"
"l5_archive_transylvania_c_64_atari","B","raw","pass","yes","1","2","partial","partial","no","archive_raw_imported_track00_1_with_bootstrap_metadata_oracle_needs_cap02_same_media_greaseweazle_calibration"
"l5_archive_kane_human_race","A","raw","pass","yes","1","2","partial","partial","no","archive_raw_imported_track00_0_with_bootstrap_metadata_oracle_needs_cap02_same_media_greaseweazle_calibration"
"l5_archive_kane_human_race","B","raw","pass","yes","1","2","partial","partial","no","archive_raw_imported_track00_1_with_bootstrap_metadata_oracle_needs_cap02_same_media_greaseweazle_calibration"
"l5_archive_aztec_challenge_c64","A","raw","pass","yes","1","2","partial","partial","no","archive_raw_imported_track00_0_with_bootstrap_metadata_oracle_needs_cap02_same_media_greaseweazle_calibration"
"l5_archive_aztec_challenge_c64","B","raw","pass","yes","1","2","partial","partial","no","archive_raw_imported_track00_1_with_bootstrap_metadata_oracle_needs_cap02_same_media_greaseweazle_calibration"
