"scenario_id","level","mode","runtime_exit_ok","marker_pass","manifest_pass","manifest_reason","overall_pass"
"copy_8_to_9_file_e2e","baseline","file_copy","0","1","1","not_required","0"
"copy_8_to_9_disk_e2e","baseline","disk_copy","0","1","1","checked_retry_pass","0"
"advanced_g64_mount_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_mount_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_raw_mount_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_write_protect_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_write_protect_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_weakbit_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_weakbit_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_parser_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_parser_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_gcr_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_gcr_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_dos_error_map_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_dos_error_map_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_multitrack_halftrack_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_multitrack_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_sync_relock_drift_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_sync_relock_drift_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_jitter_window_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_jitter_window_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_relock_window_soak_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_relock_window_soak_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_flux_hysteresis_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_flux_hysteresis_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_dos_recovery_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_dos_recovery_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_longtail_burst_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_longtail_burst_hard_baseline","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_longtail_extreme_corpus_fixture","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_longtail_extreme_corpus_fixture","advanced","file_copy","0","1","1","not_required","0"
"advanced_raw_flux_extreme_corpus_fixture","advanced","file_copy","0","1","1","not_required","0"
"advanced_g64_sync_relock_window_longtail_target","advanced","file_copy","0","1","1","not_required","0"
"advanced_nib_weak_jitter_gap_longtail_target","advanced","file_copy","0","1","1","not_required","0"
"advanced_multidrive_independence_8_9_10_11","advanced","file_copy","0","1","1","not_required","0"
"advanced_multidrive_timing_divergence_8_9_10_11","advanced","file_copy","0","1","1","not_required","0"
