"path","reference","current","delta","budget","pass","issue"
"line.atn.release_delay_ticks","1","1","0","2","1","ok"
"line.atn.min_low_pulse_ticks","1","1","0","2","1","ok"
"line.clk.release_delay_ticks","1","1","0","2","1","ok"
"line.clk.min_low_pulse_ticks","2","2","0","2","1","ok"
"line.data.release_delay_ticks","1","1","0","2","1","ok"
"line.data.min_low_pulse_ticks","2","2","0","2","1","ok"
"analog.rise_tau_ticks","2","2","0","2","1","ok"
"analog.fall_tau_ticks","1","1","0","2","1","ok"
"analog.node.host.rise_tau_ticks","2","2","0","2","1","ok"
"analog.node.host.fall_tau_ticks","1","1","0","2","1","ok"
"analog.node.drive.rise_tau_ticks","3","3","0","2","1","ok"
"analog.node.drive.fall_tau_ticks","1","1","0","2","1","ok"
"analog.node.host.skew_ticks","0","0","0","2","1","ok"
"analog.node.drive.skew_ticks","1","1","0","2","1","ok"
"analog.rise_threshold_milli","634","634","0","80","1","ok"
"analog.fall_threshold_milli","366","366","0","80","1","ok"
