"title_id","format","path","path_exists","oracle_ok","runner_pass","runner_host_fallback_no","overall_pass","note"
"d64_1541_disk_drive_tester","d64","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\1541_Disk_Drive_Tester_19xx_-.d64","True","True","True","True","True","ok"
"g64_128_data_base","g64","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\128_data_base.g64\128 data base.g64","True","True","True","True","True","ok"
"nib_128_data_base","nib","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\128_data_base.nib\128 data base.nib","True","True","True","True","True","ok"
"g64_vic1541_test_demo","g64","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\commodorevic1541testdemo\Commodore VIC-1541 Test-Demo (Commodore Business Machines, Inc.)(1982) [C1988021].g64","True","True","True","True","True","ok"
"nib_vic1541_test_demo_side0","nib","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\commodorevic1541testdemo\Commodore VIC-1541 Test-Demo (Commodore Business Machines, Inc.)(1982) [C1988021]\vic1541testdemo.nib","True","True","True","True","True","ok"
"nib_vic1541_test_demo_side1","nib","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\commodorevic1541testdemo\Commodore VIC-1541 Test-Demo (Commodore Business Machines, Inc.)(1982) [C1988021]\vic1541testdemo1.nib","True","True","True","True","True","ok"
"g64_adv_wrt","g64","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\adv_wrt.g64\adv wrt.g64","True","True","True","True","True","ok"
"nib_adv_wrt","nib","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\adv_wrt.nib\adv wrt.nib","True","True","True","True","True","ok"
"g64_adv_s1","g64","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\adv_s1.g64\adv s1.g64","True","True","True","True","True","ok"
"nib_adv_s1","nib","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\adv_s1.nib\adv s1.nib","True","True","True","True","True","ok"
"g64_3d_construction_kit","g64","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\3D_Construction_Kit\3dkit-disk-bcp.g64","True","True","True","True","True","ok"
"nib_3d_construction_kit","nib","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\3D_Construction_Kit\3dkit-disk-bcp.nib","True","True","True","True","True","ok"
"raw_copy_ii_pc_v1","raw","C:\Users\LBiondi\AppData\Local\Temp\opencode\Jemu64\testdata\real_corpus_draven_top10\kryoflux\Copy.II.PC.v1.0","True","True","True","True","True","ok"
