phase,cycle,pixel,op,bus_window,fetch,tick_actions,predicate_mask,fetch_plan,commit_plan,addr_formula0,addr_formula1
PHI1,0,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,0,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,0,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,0,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,0,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,0,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,0,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,0,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,1,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,1,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,2,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,2,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,3,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,3,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,4,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,4,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,5,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,5,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,6,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,6,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,0,REFRESH,0,REFRESH,0,0,REFRESH,REFRESH,REFRESH,NONE
PHI1,7,1,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,2,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,3,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,4,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,5,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,6,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,7,7,REFRESH,0,NONE,0,0,NONE,NONE,NONE,NONE
PHI1,8,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,8,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,8,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,8,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,8,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,8,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,8,6,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,8,7,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,9,0,SPRITE,0,SPRITE_PTR,0,1,SPRITE_PTR,SPRITE_PTR,SPRITE_PTR,NONE
PHI1,9,1,SPRITE,0,SPRITE_DATA0,0,1,SPRITE_DATA0,SPRITE_DATA0,SPRITE_DATA0,NONE
PHI1,9,2,SPRITE,0,SPRITE_DATA1,0,1,SPRITE_DATA1,SPRITE_DATA1,SPRITE_DATA1,NONE
PHI1,9,3,SPRITE,0,SPRITE_DATA2,0,1,SPRITE_DATA2,SPRITE_DATA2,SPRITE_DATA2,NONE
PHI1,9,4,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
PHI1,9,5,SPRITE,0,NONE,0,1,NONE,NONE,NONE,NONE
