rev,idx,threshold,openbus
nmos,0,64,0
nmos,1,64,0
nmos,2,64,0
nmos,3,64,0
nmos,4,64,0
nmos,5,64,0
nmos,6,64,0
nmos,7,64,0
nmos,8,64,0
nmos,9,64,0
nmos,10,64,0
nmos,11,64,0
nmos,12,64,0
nmos,13,64,0
nmos,14,64,0
nmos,15,64,0
nmos,16,64,0
nmos,17,64,0
nmos,18,64,0
nmos,19,64,0
nmos,20,64,0
nmos,21,64,0
nmos,22,64,0
nmos,23,64,0
nmos,24,64,0
nmos,25,64,0
nmos,26,64,0
nmos,27,64,0
nmos,28,64,0
nmos,29,64,0
nmos,30,64,0
nmos,31,64,0
nmos,32,64,0
nmos,33,64,0
nmos,34,64,0
nmos,35,64,0
nmos,36,64,0
nmos,37,64,0
nmos,38,64,0
nmos,39,64,0
nmos,40,64,0
nmos,41,64,0
nmos,42,64,0
nmos,43,64,0
nmos,44,64,0
nmos,45,64,0
nmos,46,64,0
nmos,47,64,0
nmos,48,64,0
nmos,49,64,0
nmos,50,64,0
nmos,51,64,0
nmos,52,64,0
nmos,53,64,0
nmos,54,64,0
nmos,55,64,0
nmos,56,64,0
nmos,57,64,0
nmos,58,64,0
nmos,59,64,0
nmos,60,64,0
nmos,61,64,0
nmos,62,64,0
nmos,63,64,0
nmos,64,64,0
hmos,0,24,0
hmos,1,24,0
hmos,2,24,0
hmos,3,24,0
hmos,4,24,0
hmos,5,24,0
hmos,6,24,0
hmos,7,24,0
hmos,8,24,0
hmos,9,24,0
hmos,10,24,0
hmos,11,24,0
hmos,12,24,0
hmos,13,24,0
hmos,14,24,0
hmos,15,24,0
hmos,16,24,0
hmos,17,24,0
hmos,18,24,0
hmos,19,24,0
hmos,20,24,0
hmos,21,24,0
hmos,22,24,0
hmos,23,24,0
hmos,24,24,0
