rev,step,line,cycle,pixel,badline,sprite_dma,vsp,fld,irq
6569,0,48,14,0,0,0,1,0,0
6569,1,48,14,1,0,0,1,0,0
6569,2,48,14,1,0,0,1,0,0
6569,3,48,14,2,0,0,1,0,0
6569,4,48,14,2,0,0,1,0,0
6569,5,48,14,3,0,0,1,0,0
6569,6,48,14,3,0,0,1,0,0
6569,7,48,14,4,0,0,1,0,0
6569,8,48,14,4,0,0,1,0,0
6569,9,48,14,5,0,0,1,0,0
6569,10,48,14,5,0,0,1,0,0
6569,11,48,14,6,0,0,1,0,0
6569,12,48,14,6,0,0,1,0,0
6569,13,48,14,7,0,0,1,0,0
6569,14,48,14,7,0,0,1,0,0
6569,15,48,15,0,0,0,1,0,0
6569,16,48,15,0,0,0,1,0,0
6569,17,48,15,1,0,0,1,1,0
6569,18,48,15,1,0,0,1,1,0
6569,19,48,15,2,0,0,1,1,0
6569,20,48,15,2,0,0,1,1,0
6569,21,48,15,3,0,0,1,1,0
6569,22,48,15,3,0,0,1,1,0
6569,23,48,15,4,0,0,1,1,0
6569,24,48,15,4,0,0,1,1,0
6569,25,48,15,5,0,0,1,1,0
6569,26,48,15,5,0,0,1,1,0
6569,27,48,15,6,0,0,1,1,0
6569,28,48,15,6,0,0,1,1,0
6569,29,48,15,7,0,0,1,1,0
6569,30,48,15,7,0,0,1,1,0
6569,31,48,16,0,0,0,1,1,0
6569,32,48,16,0,0,0,1,1,0
6569,33,48,16,1,0,0,1,1,0
6569,34,48,16,1,0,0,1,1,0
6569,35,48,16,2,0,0,1,1,0
6569,36,48,16,2,0,0,1,1,0
6569,37,48,16,3,0,0,1,1,0
6569,38,48,16,3,0,0,1,1,0
6569,39,48,16,4,0,0,1,1,0
6569,40,48,16,4,0,0,1,1,0
6569,41,48,16,5,0,0,1,1,0
6569,42,48,16,5,0,0,1,1,0
6569,43,48,16,6,0,0,1,1,0
6569,44,48,16,6,0,0,1,1,0
6569,45,48,16,7,0,0,1,1,0
6569,46,48,16,7,0,0,1,1,0
6569,47,48,17,0,0,0,1,1,0
6569,48,48,17,0,0,0,1,1,0
6569,49,48,17,1,0,0,1,1,0
6569,50,48,17,1,0,0,1,1,0
6569,51,48,17,2,0,0,1,1,0
6569,52,48,17,2,0,0,1,1,0
6569,53,48,17,3,0,0,1,1,0
6569,54,48,17,3,0,0,1,1,0
6569,55,48,17,4,0,0,1,1,0
6569,56,48,17,4,0,0,1,1,0
