rev,case,step,val,openbus,last_data,idle_reads,port_data,port_dir,io_visible,char_visible
nmos,io_visible_mem,0,60,60,60,0,7,7,1,0
nmos,char_visible_read,1,165,165,165,0,3,7,0,1
nmos,ram_visible_read,2,90,90,90,0,0,7,0,0
nmos,drive_openbus_seed,3,186,186,186,0,7,7,1,0
nmos,floating_decay,4,186,186,186,1,7,7,1,0
nmos,floating_decay,5,255,255,255,64,7,7,1,0
nmos,floating_decay,6,255,255,255,65,7,7,1,0
nmos,port_mask_read,7,250,250,250,0,2,5,0,0
nmos,flat_mode_passthrough,8,109,109,109,0,2,5,0,0
hmos,io_visible_mem,0,60,60,60,0,7,7,1,0
hmos,char_visible_read,1,165,165,165,0,3,7,0,1
hmos,ram_visible_read,2,90,90,90,0,0,7,0,0
hmos,drive_openbus_seed,3,186,186,186,0,7,7,1,0
hmos,floating_decay,4,186,186,186,1,7,7,1,0
hmos,floating_decay,5,0,0,0,24,7,7,1,0
hmos,floating_decay,6,0,0,0,25,7,7,1,0
hmos,port_mask_read,7,250,250,250,0,2,5,0,0
hmos,flat_mode_passthrough,8,109,109,109,0,2,5,0,0
