rev,event,step,cia1_icr,cia2_icr,cia1_deferred,cia2_deferred,cpu_irq_line,cpu_nmi_line
6526,baseline,0,0,0,0,0,1,1
6526,flag_fall_pre_tick,1,0,0,0,0,1,1
6526,half_tick_1,2,0,0,16,16,1,1
6526,half_tick_2,3,144,144,0,0,0,0
6526,flag_release,4,144,144,0,0,0,0
6526,cia1_icr_read_clear,5,0,144,0,0,0,0
6526,cia2_icr_read_clear,6,0,0,0,0,1,1
6526A,baseline,0,0,0,0,0,1,1
6526A,flag_fall_pre_tick,1,0,0,0,0,1,1
6526A,half_tick_1,2,144,144,0,0,0,0
6526A,half_tick_2,3,144,144,0,0,0,0
6526A,flag_release,4,144,144,0,0,0,0
6526A,cia1_icr_read_clear,5,0,144,0,0,0,0
6526A,cia2_icr_read_clear,6,0,0,0,0,1,1
6526R4,baseline,0,0,0,0,0,1,1
6526R4,flag_fall_pre_tick,1,0,0,0,0,1,1
6526R4,half_tick_1,2,144,144,0,0,0,0
6526R4,half_tick_2,3,144,144,0,0,0,0
6526R4,flag_release,4,144,144,0,0,0,0
6526R4,cia1_icr_read_clear,5,0,144,0,0,0,0
6526R4,cia2_icr_read_clear,6,0,0,0,0,1,1
