rev,event,step,pending_ops,phase,irq_line,irq_sampled_low,pending_nmi,nmi_line,aec,last_vic_bus
6510,baseline,0,1,2,1,0,0,1,1,0
6510,irq_latched_hold,1,4,1,0,1,0,1,0,1
6510,irq_line_release_only,2,4,1,1,1,0,1,0,1
6510,aec_release_exec,3,3,1,1,1,0,1,1,0
6510,nmi_edge_hold,4,2,2,1,1,1,0,0,1
6510,nmi_release,5,1,1,1,1,1,1,1,0
6510R2,baseline,0,1,2,1,0,0,1,1,0
6510R2,irq_latched_hold,1,4,1,0,1,0,1,0,1
6510R2,irq_line_release_only,2,4,1,1,1,0,1,0,1
6510R2,aec_release_exec,3,3,1,1,1,0,1,1,0
6510R2,nmi_edge_hold,4,2,2,1,1,1,0,0,1
6510R2,nmi_release,5,1,1,1,1,1,1,1,0
8500,baseline,0,1,2,1,0,0,1,1,0
8500,irq_latched_hold,1,4,1,0,1,0,1,0,1
8500,irq_line_release_only,2,4,1,1,1,0,1,0,1
8500,aec_release_exec,3,3,1,1,1,0,1,1,0
8500,nmi_edge_hold,4,2,2,1,1,1,0,0,1
8500,nmi_release,5,1,1,1,1,1,1,1,0
8500R2,baseline,0,1,2,1,0,0,1,1,0
8500R2,irq_latched_hold,1,4,1,0,1,0,1,0,1
8500R2,irq_line_release_only,2,4,1,1,1,0,1,0,1
8500R2,aec_release_exec,3,3,1,1,1,0,1,1,0
8500R2,nmi_edge_hold,4,2,2,1,1,1,0,0,1
8500R2,nmi_release,5,1,1,1,1,1,1,1,0
