rev,phase,step,sdr,shift,bits_in,bits_out,rx_bytes,tx_bytes,icr,divider
6526,tx_seed,0,166,166,0,0,0,0,0,8
6526,tx_tick,1,166,166,0,0,0,0,0,7
6526,tx_tick,2,166,152,0,2,0,0,1,2
6526,tx_tick,3,166,192,0,5,0,0,1,6
6526,tx_tick,4,166,0,0,7,0,0,1,1
6526,tx_tick,5,166,0,0,0,0,1,137,8
6526,tx_icr_clear,6,166,0,0,0,0,1,0,8
6526,rx_bit,7,166,0,1,0,0,1,0,8
6526,rx_bit,8,166,1,2,0,0,1,1,8
6526,rx_bit,9,166,2,3,0,0,1,1,8
6526,rx_bit,10,166,5,4,0,0,1,1,8
6526,rx_bit,11,166,11,5,0,0,1,1,8
6526,rx_bit,12,166,22,6,0,0,1,1,8
6526,rx_bit,13,166,45,7,0,0,1,1,8
6526,rx_bit,14,90,0,0,0,1,1,1,8
6526,rx_done,15,90,0,0,0,1,1,1,8
6526,rx_icr_clear,16,90,0,0,0,1,1,0,8
6526A,tx_seed,0,166,166,0,0,0,0,0,7
6526A,tx_tick,1,166,166,0,0,0,0,0,6
6526A,tx_tick,2,166,48,0,3,0,0,1,7
6526A,tx_tick,3,166,192,0,5,0,0,1,0
6526A,tx_tick,4,166,0,0,0,0,1,137,7
6526A,tx_icr_clear,5,166,0,0,0,0,1,0,7
6526A,rx_bit,6,166,0,1,0,0,1,0,7
6526A,rx_bit,7,166,1,2,0,0,1,1,7
6526A,rx_bit,8,166,2,3,0,0,1,1,7
6526A,rx_bit,9,166,5,4,0,0,1,1,7
6526A,rx_bit,10,166,11,5,0,0,1,1,7
6526A,rx_bit,11,166,22,6,0,0,1,1,7
6526A,rx_bit,12,166,45,7,0,0,1,1,7
6526A,rx_bit,13,90,0,0,0,1,1,1,7
6526A,rx_done,14,90,0,0,0,1,1,1,7
6526A,rx_icr_clear,15,90,0,0,0,1,1,0,7
6526R4,tx_seed,0,166,166,0,0,0,0,0,7
6526R4,tx_tick,1,166,166,0,0,0,0,0,6
6526R4,tx_tick,2,166,48,0,3,0,0,1,7
6526R4,tx_tick,3,166,192,0,5,0,0,1,0
6526R4,tx_tick,4,166,0,0,0,0,1,137,7
6526R4,tx_icr_clear,5,166,0,0,0,0,1,0,7
6526R4,rx_bit,6,166,0,1,0,0,1,0,7
6526R4,rx_bit,7,166,1,2,0,0,1,1,7
6526R4,rx_bit,8,166,2,3,0,0,1,1,7
6526R4,rx_bit,9,166,5,4,0,0,1,1,7
6526R4,rx_bit,10,166,11,5,0,0,1,1,7
6526R4,rx_bit,11,166,22,6,0,0,1,1,7
6526R4,rx_bit,12,166,45,7,0,0,1,1,7
6526R4,rx_bit,13,90,0,0,0,1,1,1,7
6526R4,rx_done,14,90,0,0,0,1,1,1,7
6526R4,rx_icr_clear,15,90,0,0,0,1,1,0,7
