rev,phase,step,atn_ack_ticks,atn_ack_pull,atn_active,atn_clk_seen,rx_ack_ticks,rx_ack_pull,rx_processed,clk_rise,clk_rise_atn_low
1541,baseline,0,0,0,0,0,0,0,0,0,0
1541,atn_fall,1,16,1,1,0,0,0,0,0,0
1541,clock_low_ack,2,15,1,1,1,0,0,0,0,0
1541,clock_high_post_ack,3,0,0,0,0,0,0,0,1,1
1541,command_exit,4,0,0,0,0,0,0,0,1,1
1541,byte_complete,5,0,0,0,0,0,0,1,9,1
1541,byte_ack_release,6,0,0,0,0,0,0,1,9,1
1541C,baseline,0,0,0,0,0,0,0,0,0,0
1541C,atn_fall,1,7,1,1,0,0,0,0,0,0
1541C,clock_low_ack,2,6,1,1,0,0,0,0,0,0
1541C,clock_high_post_ack,3,5,1,1,0,0,0,0,1,1
1541C,command_exit,4,0,0,0,0,0,0,0,1,1
1541C,byte_complete,5,0,0,0,0,0,0,1,9,1
1541C,byte_ack_release,6,0,0,0,0,0,0,1,9,1
1541II,baseline,0,0,0,0,0,0,0,0,0,0
1541II,atn_fall,1,5,1,1,0,0,0,0,0,0
1541II,clock_low_ack,2,4,1,1,0,0,0,0,0,0
1541II,clock_high_post_ack,3,3,1,1,0,0,0,0,1,1
1541II,command_exit,4,0,0,0,0,0,0,0,1,1
1541II,byte_complete,5,0,0,0,0,0,0,1,9,1
1541II,byte_ack_release,6,0,0,0,0,0,0,1,9,1
