rev,phase,step,listening,talking,listen_sa,talk_sa,listen_ch,talk_ch,talk_sa0,state,last_cmd,txq
1541,baseline,0,0,0,255,255,255,255,0,0,0,0
1541,atn_low_enter_cmd,1,0,0,255,255,255,255,0,1,0,0
1541,listen_device,2,1,0,0,255,0,255,0,1,40,0
1541,listen_sa0,3,1,0,0,255,0,255,0,1,240,0
1541,unlisten,4,0,0,255,255,0,255,0,1,63,0
1541,talk_device,5,0,1,255,255,0,255,0,1,72,0
1541,talk_sa0,6,0,1,255,0,0,0,1,1,96,0
1541,atn_high_talkdata,7,0,1,255,0,0,0,1,3,96,0
1541,untalk,8,0,0,255,255,0,255,0,3,95,0
1541C,baseline,0,0,0,255,255,255,255,0,0,0,0
1541C,atn_low_enter_cmd,1,0,0,255,255,255,255,0,1,0,0
1541C,listen_device,2,1,0,0,255,0,255,0,1,40,0
1541C,listen_sa0,3,1,0,0,255,0,255,0,1,240,0
1541C,unlisten,4,0,0,255,255,0,255,0,1,63,0
1541C,talk_device,5,0,1,255,255,0,255,0,1,72,0
1541C,talk_sa0,6,0,1,255,0,0,0,1,1,96,0
1541C,atn_high_talkdata,7,0,1,255,0,0,0,1,3,96,0
1541C,untalk,8,0,0,255,255,0,255,0,3,95,0
1541II,baseline,0,0,0,255,255,255,255,0,0,0,0
1541II,atn_low_enter_cmd,1,0,0,255,255,255,255,0,1,0,0
1541II,listen_device,2,1,0,0,255,0,255,0,1,40,0
1541II,listen_sa0,3,1,0,0,255,0,255,0,1,240,0
1541II,unlisten,4,0,0,255,255,0,255,0,1,63,0
1541II,talk_device,5,0,1,255,255,0,255,0,1,72,0
1541II,talk_sa0,6,0,1,255,0,0,0,1,1,96,0
1541II,atn_high_talkdata,7,0,1,255,0,0,0,1,3,96,0
1541II,untalk,8,0,0,255,255,0,255,0,3,95,0
