rev,phase,step,state,tx_active,tx_bits,eoi_pending,eoi_low_seen,eoi_wait,eoi_ack_count,tx_served,txq,atn_ack_pull,atn_active
1541,baseline,0,0,0,0,0,0,0,0,0,2,0,0
1541,talk_shift,1,3,1,1,0,0,0,0,1,1,0,0
1541,talk_shift,2,3,1,7,0,0,0,0,1,1,0,0
1541,talk_shift,3,3,1,5,0,0,0,0,2,0,0,0
1541,talk_shift,4,3,0,0,1,0,0,0,2,0,0,0
1541,eoi_ack_low,5,4,0,0,1,1,0,0,2,0,0,0
1541,eoi_ack_release,6,4,0,0,0,0,1,1,2,0,0,0
1541,atn_low_during_talk,7,1,0,0,0,0,1,1,2,0,1,1
1541,atn_high_resume,8,3,0,0,0,0,1,1,2,0,0,0
1541C,baseline,0,0,0,0,0,0,0,0,0,2,0,0
1541C,talk_shift,1,3,1,1,0,0,0,0,1,1,0,0
1541C,talk_shift,2,3,1,7,0,0,0,0,1,1,0,0
1541C,talk_shift,3,3,1,5,0,0,0,0,2,0,0,0
1541C,talk_shift,4,3,0,0,1,0,0,0,2,0,0,0
1541C,eoi_ack_low,5,4,0,0,1,1,0,0,2,0,0,0
1541C,eoi_ack_release,6,4,0,0,0,0,1,1,2,0,0,0
1541C,atn_low_during_talk,7,1,0,0,0,0,1,1,2,0,1,1
1541C,atn_high_resume,8,3,0,0,0,0,1,1,2,0,0,0
1541II,baseline,0,0,0,0,0,0,0,0,0,2,0,0
1541II,talk_shift,1,3,1,1,0,0,0,0,1,1,0,0
1541II,talk_shift,2,3,1,7,0,0,0,0,1,1,0,0
1541II,talk_shift,3,3,1,5,0,0,0,0,2,0,0,0
1541II,talk_shift,4,3,0,0,1,0,0,0,2,0,0,0
1541II,eoi_ack_low,5,4,0,0,1,1,0,0,2,0,0,0
1541II,eoi_ack_release,6,4,0,0,0,0,1,1,2,0,0,0
1541II,atn_low_during_talk,7,1,0,0,0,0,1,1,2,0,1,1
1541II,atn_high_resume,8,3,0,0,0,0,1,1,2,0,0,0
