rev,phase,step,rx_bits,rx_shift,rx_idle,rx_timeout,tx_bits,tx_idle,tx_timeout,eoi_wait,eoi_timeout,eoi_pending,cmd_dispatch,data_dispatch,syntax_err
1541,baseline,0,3,3,0,0,0,0,0,0,0,0,0,0,0
1541,rx_timeout,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1541,rx_recover_edge,2,1,1,0,1,0,0,0,0,0,0,0,0,0
1541,tx_timeout,3,0,0,0,2,0,0,1,0,0,0,0,0,0
1541,eoi_timeout,4,0,0,0,2,0,0,1,0,1,0,0,0,0
1541,post_timeout_cmd,5,0,0,0,2,0,0,1,0,1,0,3,0,0
1541C,baseline,0,3,3,0,0,0,0,0,0,0,0,0,0,0
1541C,rx_timeout,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1541C,rx_recover_edge,2,1,1,0,1,0,0,0,0,0,0,0,0,0
1541C,tx_timeout,3,0,0,0,2,0,0,1,0,0,0,0,0,0
1541C,eoi_timeout,4,0,0,0,2,0,0,1,0,1,0,0,0,0
1541C,post_timeout_cmd,5,0,0,0,2,0,0,1,0,1,0,3,0,0
1541II,baseline,0,3,3,0,0,0,0,0,0,0,0,0,0,0
1541II,rx_timeout,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1541II,rx_recover_edge,2,1,1,0,1,0,0,0,0,0,0,0,0,0
1541II,tx_timeout,3,0,0,0,2,0,0,1,0,0,0,0,0,0
1541II,eoi_timeout,4,0,0,0,2,0,0,1,0,1,0,0,0,0
1541II,post_timeout_cmd,5,0,0,0,2,0,0,1,0,1,0,3,0,0
