rev,phase,step,trk,sec,ch,op_ok,alloc_count,blocks_free,alloc_bit,owner
1541,baseline,0,17,1,0,1,0,664,0,255
1541,alloc_1101_ch0,1,17,1,0,1,1,663,1,0
1541,alloc_1102_ch1,2,17,2,1,1,2,662,1,1
1541,alloc_dup_1101,3,17,1,2,0,2,662,1,0
1541,free_1101,4,17,1,0,1,1,663,0,255
1541,free_missing_1101,5,17,1,0,0,1,663,0,255
1541,alloc_1203_ch2,6,18,3,2,1,2,662,1,0
1541,free_1102,7,17,2,1,1,1,663,0,255
1541,free_1203,8,18,3,2,1,0,664,0,255
1541C,baseline,0,17,1,0,1,0,664,0,255
1541C,alloc_1101_ch0,1,17,1,0,1,1,663,1,0
1541C,alloc_1102_ch1,2,17,2,1,1,2,662,1,1
1541C,alloc_dup_1101,3,17,1,2,0,2,662,1,0
1541C,free_1101,4,17,1,0,1,1,663,0,255
1541C,free_missing_1101,5,17,1,0,0,1,663,0,255
1541C,alloc_1203_ch2,6,18,3,2,1,2,662,1,0
1541C,free_1102,7,17,2,1,1,1,663,0,255
1541C,free_1203,8,18,3,2,1,0,664,0,255
1541II,baseline,0,17,1,0,1,0,664,0,255
1541II,alloc_1101_ch0,1,17,1,0,1,1,663,1,0
1541II,alloc_1102_ch1,2,17,2,1,1,2,662,1,1
1541II,alloc_dup_1101,3,17,1,2,0,2,662,1,0
1541II,free_1101,4,17,1,0,1,1,663,0,255
1541II,free_missing_1101,5,17,1,0,0,1,663,0,255
1541II,alloc_1203_ch2,6,18,3,2,1,2,662,1,0
1541II,free_1102,7,17,2,1,1,1,663,0,255
1541II,free_1203,8,18,3,2,1,0,664,0,255
