rev,phase,step,ch,ptr,ptr_valid,txq,tx_head,from_blockbuf,blk_trk,blk_sec
1541,baseline,0,0,0,0,0,-1,0,0,0
1541,ptr00_stream,1,0,0,1,260,1,1,18,5
1541,ptr10_stream,2,0,16,1,244,1,1,18,5
1541,ptr80_stream,3,0,128,1,132,1,1,18,5
1541,ptrf0_stream,4,0,240,1,20,1,1,18,5
1541,stub_fallback,5,0,240,1,67,1,0,18,5
1541C,baseline,0,0,0,0,0,-1,0,0,0
1541C,ptr00_stream,1,0,0,1,260,1,1,18,5
1541C,ptr10_stream,2,0,16,1,244,1,1,18,5
1541C,ptr80_stream,3,0,128,1,132,1,1,18,5
1541C,ptrf0_stream,4,0,240,1,20,1,1,18,5
1541C,stub_fallback,5,0,240,1,67,1,0,18,5
1541II,baseline,0,0,0,0,0,-1,0,0,0
1541II,ptr00_stream,1,0,0,1,260,1,1,18,5
1541II,ptr10_stream,2,0,16,1,244,1,1,18,5
1541II,ptr80_stream,3,0,128,1,132,1,1,18,5
1541II,ptrf0_stream,4,0,240,1,20,1,1,18,5
1541II,stub_fallback,5,0,240,1,67,1,0,18,5
