rev,phase,step,op_ok,talking,talk_sa,open_talk15,close15_count,syntax_err,txq_size
1541,baseline,0,1,0,255,0,0,0,0
1541,talk_cmd,1,1,1,255,0,0,0,0
1541,talk_sa2_invalid,2,1,1,2,0,0,1,0
1541,talk_sa15,3,1,1,15,1,0,1,20
1541,close15_a,4,1,1,15,0,1,1,20
1541,untalk_a,5,1,0,255,0,1,1,20
1541,talk_cmd_again,6,1,1,255,0,1,1,20
1541,talk_sa15_again,7,1,1,15,1,1,1,20
1541,close15_b,8,1,1,15,0,2,1,20
1541,untalk_b,9,1,0,255,0,2,1,20
1541C,baseline,0,1,0,255,0,0,0,0
1541C,talk_cmd,1,1,1,255,0,0,0,0
1541C,talk_sa2_invalid,2,1,1,2,0,0,1,0
1541C,talk_sa15,3,1,1,15,1,0,1,20
1541C,close15_a,4,1,1,15,0,1,1,20
1541C,untalk_a,5,1,0,255,0,1,1,20
1541C,talk_cmd_again,6,1,1,255,0,1,1,20
1541C,talk_sa15_again,7,1,1,15,1,1,1,20
1541C,close15_b,8,1,1,15,0,2,1,20
1541C,untalk_b,9,1,0,255,0,2,1,20
1541II,baseline,0,1,0,255,0,0,0,0
1541II,talk_cmd,1,1,1,255,0,0,0,0
1541II,talk_sa2_invalid,2,1,1,2,0,0,1,0
1541II,talk_sa15,3,1,1,15,1,0,1,20
1541II,close15_a,4,1,1,15,0,1,1,20
1541II,untalk_a,5,1,0,255,0,1,1,20
1541II,talk_cmd_again,6,1,1,255,0,1,1,20
1541II,talk_sa15_again,7,1,1,15,1,1,1,20
1541II,close15_b,8,1,1,15,0,2,1,20
1541II,untalk_b,9,1,0,255,0,2,1,20
