rev,phase,step,op_ok,listening,talking,listen_sa,talk_sa,data_dispatch,cmd_dispatch,cmd_buf_len,syntax_err,mem_0400,txq_size
1541,baseline,0,1,0,0,255,255,0,0,0,0,0,0
1541,listen_cmd_a,1,1,1,0,0,255,0,1,0,0,0,0
1541,sa15_a,2,1,1,0,15,255,0,2,0,0,0,0
1541,data_valid_buffered,3,1,1,0,15,255,17,2,17,0,0,0
1541,execute_valid_unlisten,4,1,0,0,255,255,17,3,0,0,170,0
1541,talk_cmd,5,1,0,1,255,255,17,4,0,0,170,0
1541,talk_sa15_status,6,1,0,1,255,15,17,5,0,0,170,12
1541,untalk_a,7,1,0,0,255,255,17,6,0,0,170,12
1541,listen_cmd_b,8,1,1,0,0,255,17,7,0,0,170,12
1541,sa15_b,9,1,1,0,15,255,17,8,0,0,170,12
1541,data_invalid_buffered,10,1,1,0,15,255,34,8,17,0,170,12
1541,execute_invalid_unlisten,11,1,0,0,255,255,34,9,0,0,170,12
1541C,baseline,0,1,0,0,255,255,0,0,0,0,0,0
1541C,listen_cmd_a,1,1,1,0,0,255,0,1,0,0,0,0
1541C,sa15_a,2,1,1,0,15,255,0,2,0,0,0,0
1541C,data_valid_buffered,3,1,1,0,15,255,17,2,17,0,0,0
1541C,execute_valid_unlisten,4,1,0,0,255,255,17,3,0,0,170,0
1541C,talk_cmd,5,1,0,1,255,255,17,4,0,0,170,0
1541C,talk_sa15_status,6,1,0,1,255,15,17,5,0,0,170,12
1541C,untalk_a,7,1,0,0,255,255,17,6,0,0,170,12
1541C,listen_cmd_b,8,1,1,0,0,255,17,7,0,0,170,12
1541C,sa15_b,9,1,1,0,15,255,17,8,0,0,170,12
1541C,data_invalid_buffered,10,1,1,0,15,255,34,8,17,0,170,12
1541C,execute_invalid_unlisten,11,1,0,0,255,255,34,9,0,0,170,12
1541II,baseline,0,1,0,0,255,255,0,0,0,0,0,0
1541II,listen_cmd_a,1,1,1,0,0,255,0,1,0,0,0,0
1541II,sa15_a,2,1,1,0,15,255,0,2,0,0,0,0
1541II,data_valid_buffered,3,1,1,0,15,255,17,2,17,0,0,0
1541II,execute_valid_unlisten,4,1,0,0,255,255,17,3,0,0,170,0
1541II,talk_cmd,5,1,0,1,255,255,17,4,0,0,170,0
1541II,talk_sa15_status,6,1,0,1,255,15,17,5,0,0,170,12
1541II,untalk_a,7,1,0,0,255,255,17,6,0,0,170,12
1541II,listen_cmd_b,8,1,1,0,0,255,17,7,0,0,170,12
1541II,sa15_b,9,1,1,0,15,255,17,8,0,0,170,12
1541II,data_invalid_buffered,10,1,1,0,15,255,34,8,17,0,170,12
1541II,execute_invalid_unlisten,11,1,0,0,255,255,34,9,0,0,170,12
