rev,phase,step,op_ok,talking,talk_sa,respq,txq,tx_head,tx_tail
1541,baseline,0,1,0,255,0,0,-1,-1
1541,seed_respq,1,1,0,255,3,0,-1,-1
1541,talk_cmd,2,1,1,255,3,0,-1,-1
1541,talk_sa15_resp,3,1,1,15,0,4,16,13
1541,talk_sa15_again_status,4,1,1,15,0,12,48,13
1541,untalk,5,1,0,255,0,12,48,13
1541C,baseline,0,1,0,255,0,0,-1,-1
1541C,seed_respq,1,1,0,255,3,0,-1,-1
1541C,talk_cmd,2,1,1,255,3,0,-1,-1
1541C,talk_sa15_resp,3,1,1,15,0,4,16,13
1541C,talk_sa15_again_status,4,1,1,15,0,12,48,13
1541C,untalk,5,1,0,255,0,12,48,13
1541II,baseline,0,1,0,255,0,0,-1,-1
1541II,seed_respq,1,1,0,255,3,0,-1,-1
1541II,talk_cmd,2,1,1,255,3,0,-1,-1
1541II,talk_sa15_resp,3,1,1,15,0,4,16,13
1541II,talk_sa15_again_status,4,1,1,15,0,12,48,13
1541II,untalk,5,1,0,255,0,12,48,13
