step,aec_high,ba_high,rdy_low,dd00_hex,dd00_edge,dd00_gap,dd00_jitter_max,aec_low_windows,rdy_low_pulses,dd00_edge_count,total_halfcycles
0,0,0,1,97,0,0,0,1,1,0,1
1,0,0,1,97,0,0,0,1,1,0,2
2,0,1,0,97,0,0,0,1,1,0,3
3,1,1,0,97,0,0,0,1,1,0,4
4,1,1,0,3F,1,5,0,1,1,1,5
5,1,1,0,3F,0,5,0,1,1,1,6
6,1,1,0,3F,0,5,0,1,1,1,7
7,1,1,0,3F,0,5,0,1,1,1,8
8,1,1,0,3F,0,5,0,1,1,1,9
9,1,1,0,3F,0,5,0,1,1,1,10
10,1,1,0,3F,0,5,0,1,1,1,11
11,0,1,0,E,1,7,2,2,1,2,12
12,1,1,0,E,0,7,2,2,1,2,13
13,1,1,0,E,0,7,2,2,1,2,14
14,1,1,0,E,0,7,2,2,1,2,15
15,1,1,0,E,0,7,2,2,1,2,16
16,0,1,0,E,0,7,2,3,1,2,17
17,0,1,0,2C,1,6,2,3,1,3,18
18,0,1,0,2C,0,6,2,3,1,3,19
19,1,0,1,2C,0,6,2,3,2,3,20
20,1,1,0,2C,0,6,2,3,2,3,21
21,1,0,1,2C,0,6,2,3,3,3,22
22,1,0,1,2C,0,6,2,3,3,3,23
23,1,1,0,2C,0,6,2,3,3,3,24
24,1,1,0,2C,0,6,2,3,3,3,25
25,1,1,0,68,1,8,2,3,3,4,26
26,1,1,0,68,0,8,2,3,3,4,27
27,1,1,0,68,0,8,2,3,3,4,28
28,1,1,0,68,0,8,2,3,3,4,29
29,1,1,0,68,0,8,2,3,3,4,30
30,1,1,0,80,1,5,3,3,3,5,31
31,1,1,0,80,0,5,3,3,3,5,32
32,0,1,0,80,0,5,3,4,3,5,33
33,0,1,0,80,0,5,3,4,3,5,34
34,0,1,0,80,0,5,3,4,3,5,35
35,1,1,0,80,0,5,3,4,3,5,36
36,1,1,0,80,0,5,3,4,3,5,37
37,1,1,0,80,0,5,3,4,3,5,38
38,1,1,0,80,0,5,3,4,3,5,39
39,1,1,0,71,1,9,4,4,3,6,40
40,0,1,0,71,0,9,4,5,3,6,41
41,1,1,0,71,0,9,4,5,3,6,42
42,1,0,1,71,0,9,4,5,4,6,43
43,1,0,1,71,0,9,4,5,4,6,44
44,1,1,0,F2,1,5,4,5,4,7,45
45,1,1,0,F2,0,5,4,5,4,7,46
46,1,1,0,F2,0,5,4,5,4,7,47
47,1,1,0,F2,0,5,4,5,4,7,48
48,0,1,0,F2,0,5,4,6,4,7,49
49,0,1,0,F2,0,5,4,6,4,7,50
50,0,1,0,F2,0,5,4,6,4,7,51
51,1,1,0,95,1,7,4,6,4,8,52
52,1,1,0,95,0,7,4,6,4,8,53
53,1,1,0,95,0,7,4,6,4,8,54
54,1,1,0,95,0,7,4,6,4,8,55
55,1,1,0,95,0,7,4,6,4,8,56
56,1,0,1,95,0,7,4,6,5,8,57
57,1,1,0,1B,1,6,4,6,5,9,58
58,1,1,0,1B,0,6,4,6,5,9,59
59,1,1,0,1B,0,6,4,6,5,9,60
60,1,1,0,1B,0,6,4,6,5,9,61
61,1,1,0,1B,0,6,4,6,5,9,62
62,1,1,0,1B,0,6,4,6,5,9,63
63,1,0,1,1B,0,6,4,6,6,9,64
64,0,0,1,1B,0,6,4,7,6,9,65
65,0,1,0,6,1,8,4,7,6,10,66
66,0,1,0,6,0,8,4,7,6,10,67
67,1,1,0,6,0,8,4,7,6,10,68
68,1,1,0,6,0,8,4,7,6,10,69
69,0,1,0,6,0,8,4,8,6,10,70
70,1,1,0,5C,1,5,4,8,6,11,71
71,1,1,0,5C,0,5,4,8,6,11,72
72,1,1,0,5C,0,5,4,8,6,11,73
73,1,1,0,5C,0,5,4,8,6,11,74
74,1,1,0,5C,0,5,4,8,6,11,75
75,1,1,0,5C,0,5,4,8,6,11,76
76,1,1,0,5C,0,5,4,8,6,11,77
77,1,1,0,5C,0,5,4,8,6,11,78
78,1,1,0,5C,0,5,4,8,6,11,79
79,1,1,0,C8,1,9,4,8,6,12,80
80,0,1,0,C8,0,9,4,9,6,12,81
81,0,1,0,C8,0,9,4,9,6,12,82
82,0,1,0,C8,0,9,4,9,6,12,83
83,1,1,0,C8,0,9,4,9,6,12,84
84,1,0,1,81,1,5,4,9,7,13,85
85,1,0,1,81,0,5,4,9,7,13,86
86,1,1,0,81,0,5,4,9,7,13,87
87,1,1,0,81,0,5,4,9,7,13,88
88,1,1,0,81,0,5,4,9,7,13,89
89,1,1,0,81,0,5,4,9,7,13,90
90,1,1,0,81,0,5,4,9,7,13,91
91,1,1,0,73,1,7,4,9,7,14,92
92,1,1,0,73,0,7,4,9,7,14,93
93,1,0,1,73,0,7,4,9,8,14,94
94,1,1,0,73,0,7,4,9,8,14,95
95,1,1,0,73,0,7,4,9,8,14,96
96,0,1,0,73,0,7,4,10,8,14,97
97,0,1,0,D6,1,6,4,10,8,15,98
98,0,1,0,D6,0,6,4,10,8,15,99
99,1,1,0,D6,0,6,4,10,8,15,100
100,1,1,0,D6,0,6,4,10,8,15,101
101,1,1,0,D6,0,6,4,10,8,15,102
102,1,1,0,D6,0,6,4,10,8,15,103
103,1,1,0,D6,0,6,4,10,8,15,104
104,1,1,0,D6,0,6,4,10,8,15,105
105,1,0,1,9D,1,8,4,10,9,16,106
