rev,phase,step,cpu_step_count,cpu_last_opcode,bus_rw,via_access,via1_ifr,via2_ifr,iec_effect,cycles
1541,tick,0,1,169,R,v1r00,0,0,0,1
1541,tick,1,1,169,W,v1w00,0,0,0,2
1541,tick,2,1,169,R,v2r00,0,0,0,3
1541,tick,3,1,169,W,v2w00,0,0,0,4
1541,tick,4,2,162,R,v1r00,0,0,0,5
1541,tick,5,2,162,W,v1w00,0,0,0,6
1541,tick,6,2,162,R,v2r00,0,0,0,7
1541,tick,7,2,162,W,v2w00,0,0,0,8
1541,tick,8,3,160,R,v1r00,0,0,0,9
1541,tick,9,3,160,W,v1w00,0,0,0,10
1541,tick,10,3,160,R,v2r00,0,0,0,11
1541,tick,11,3,160,W,v2w00,0,0,0,12
1541,tick,12,4,208,R,v1r00,0,0,0,13
1541,tick,13,4,208,W,v1w00,0,0,0,14
1541,tick,14,4,208,R,v2r00,0,0,0,15
1541,tick,15,4,208,W,v2w00,0,0,0,16
1541,tick,16,4,208,R,v1r00,0,0,0,17
1541,tick,17,4,208,W,v1w00,0,0,0,18
1541,tick,18,5,76,R,v2r00,0,0,0,19
1541,tick,19,5,76,W,v2w00,0,0,0,20
1541,tick,20,5,76,R,v1r00,0,0,0,21
1541,tick,21,5,76,W,v1w00,0,0,0,22
1541,tick,22,5,76,R,v2r00,0,0,0,23
1541,tick,23,5,76,W,v2w00,0,0,0,24
1541C,tick,0,1,169,R,v1r00,0,0,0,1
1541C,tick,1,1,169,W,v1w00,0,0,0,2
1541C,tick,2,2,162,R,v2r00,0,0,0,3
1541C,tick,3,2,162,W,v2w00,0,0,0,4
1541C,tick,4,3,160,R,v1r00,0,0,0,5
1541C,tick,5,3,160,W,v1w00,0,0,0,6
1541C,tick,6,4,208,R,v2r00,0,0,0,7
1541C,tick,7,4,208,W,v2w00,0,0,0,8
1541C,tick,8,4,208,R,v1r00,0,0,0,9
1541C,tick,9,4,208,W,v1w00,0,0,0,10
1541C,tick,10,5,76,R,v2r00,0,0,0,11
1541C,tick,11,5,76,W,v2w00,0,0,0,12
1541C,tick,12,5,76,R,v1r00,0,0,0,13
1541C,tick,13,5,76,W,v1w00,0,0,0,14
1541C,tick,14,6,169,R,v2r00,0,0,0,15
1541C,tick,15,6,169,W,v2w00,0,0,0,16
1541C,tick,16,7,162,R,v1r00,0,0,0,17
1541C,tick,17,7,162,W,v1w00,0,0,0,18
1541C,tick,18,8,160,R,v2r00,0,0,0,19
1541C,tick,19,8,160,W,v2w00,0,0,0,20
1541C,tick,20,9,208,R,v1r00,0,0,0,21
1541C,tick,21,9,208,W,v1w00,0,0,0,22
1541C,tick,22,9,208,R,v2r00,0,0,0,23
1541C,tick,23,9,208,W,v2w00,0,0,0,24
1541II,tick,0,1,169,R,v1r00,0,0,0,1
1541II,tick,1,1,169,W,v1w00,0,0,0,2
1541II,tick,2,2,162,R,v2r00,0,0,0,3
1541II,tick,3,2,162,W,v2w00,0,0,0,4
1541II,tick,4,3,160,R,v1r00,0,0,0,5
1541II,tick,5,3,160,W,v1w00,0,0,0,6
1541II,tick,6,4,208,R,v2r00,0,0,0,7
1541II,tick,7,4,208,W,v2w00,0,0,0,8
1541II,tick,8,4,208,R,v1r00,0,0,0,9
1541II,tick,9,4,208,W,v1w00,0,0,0,10
1541II,tick,10,5,76,R,v2r00,0,0,0,11
1541II,tick,11,5,76,W,v2w00,0,0,0,12
1541II,tick,12,5,76,R,v1r00,0,0,0,13
1541II,tick,13,5,76,W,v1w00,0,0,0,14
1541II,tick,14,6,169,R,v2r00,0,0,0,15
1541II,tick,15,6,169,W,v2w00,0,0,0,16
1541II,tick,16,7,162,R,v1r00,0,0,0,17
1541II,tick,17,7,162,W,v1w00,0,0,0,18
1541II,tick,18,8,160,R,v2r00,0,0,0,19
1541II,tick,19,8,160,W,v2w00,0,0,0,20
1541II,tick,20,9,208,R,v1r00,0,0,0,21
1541II,tick,21,9,208,W,v1w00,0,0,0,22
1541II,tick,22,9,208,R,v2r00,0,0,0,23
1541II,tick,23,9,208,W,v2w00,0,0,0,24
