rev,phase,step,cycles,cpu_step_count,cpu_last_opcode,cpu_cycles_to_next,pc,cpu_advanced,pc_advanced,delta_cycles,delta_cpu_steps,cadence_gap_max,cpu_advance_events,pc_advance_events
1541,tick,0,1,1,169,1,49154,1,1,1,1,0,1,1
1541,tick,1,2,1,169,1,49154,0,0,1,0,0,1,1
1541,tick,2,3,1,169,0,49154,0,0,1,0,0,1,1
1541,tick,3,4,1,169,0,49154,0,0,1,0,0,1,1
1541,tick,4,5,2,162,1,49156,1,1,1,1,3,2,2
1541,tick,5,6,2,162,1,49156,0,0,1,0,3,2,2
1541,tick,6,7,2,162,0,49156,0,0,1,0,3,2,2
1541,tick,7,8,2,162,0,49156,0,0,1,0,3,2,2
1541,tick,8,9,3,32,5,49164,1,1,1,1,3,3,3
1541,tick,9,10,3,32,5,49164,0,0,1,0,3,3,3
1541,tick,10,11,3,32,4,49164,0,0,1,0,3,3,3
1541,tick,11,12,3,32,4,49164,0,0,1,0,3,3,3
1541,tick,12,13,3,32,3,49164,0,0,1,0,3,3,3
1541,tick,13,14,3,32,3,49164,0,0,1,0,3,3,3
1541,tick,14,15,3,32,2,49164,0,0,1,0,3,3,3
1541,tick,15,16,3,32,2,49164,0,0,1,0,3,3,3
1541,tick,16,17,3,32,1,49164,0,0,1,0,3,3,3
1541,tick,17,18,3,32,1,49164,0,0,1,0,3,3,3
1541,tick,18,19,3,32,0,49164,0,0,1,0,3,3,3
1541,tick,19,20,3,32,0,49164,0,0,1,0,3,3,3
1541,tick,20,21,4,160,1,49166,1,1,1,1,11,4,4
1541,tick,21,22,4,160,1,49166,0,0,1,0,11,4,4
1541,tick,22,23,4,160,0,49166,0,0,1,0,11,4,4
1541,tick,23,24,4,160,0,49166,0,0,1,0,11,4,4
1541,tick,24,25,5,96,5,49159,1,1,1,1,11,5,5
1541,tick,25,26,5,96,5,49159,0,0,1,0,11,5,5
1541,tick,26,27,5,96,4,49159,0,0,1,0,11,5,5
1541,tick,27,28,5,96,4,49159,0,0,1,0,11,5,5
1541,tick,28,29,5,96,3,49159,0,0,1,0,11,5,5
1541,tick,29,30,5,96,3,49159,0,0,1,0,11,5,5
1541,tick,30,31,5,96,2,49159,0,0,1,0,11,5,5
1541,tick,31,32,5,96,2,49159,0,0,1,0,11,5,5
1541,tick,32,33,5,96,1,49159,0,0,1,0,11,5,5
1541,tick,33,34,5,96,1,49159,0,0,1,0,11,5,5
1541,tick,34,35,5,96,0,49159,0,0,1,0,11,5,5
1541,tick,35,36,5,96,0,49159,0,0,1,0,11,5,5
1541C,tick,0,1,1,169,0,49154,1,1,1,1,0,1,1
1541C,tick,1,2,1,169,0,49154,0,0,1,0,0,1,1
1541C,tick,2,3,2,162,0,49156,1,1,1,1,1,2,2
1541C,tick,3,4,2,162,0,49156,0,0,1,0,1,2,2
1541C,tick,4,5,3,32,2,49164,1,1,1,1,1,3,3
1541C,tick,5,6,3,32,2,49164,0,0,1,0,1,3,3
1541C,tick,6,7,3,32,1,49164,0,0,1,0,1,3,3
1541C,tick,7,8,3,32,1,49164,0,0,1,0,1,3,3
1541C,tick,8,9,3,32,0,49164,0,0,1,0,1,3,3
1541C,tick,9,10,3,32,0,49164,0,0,1,0,1,3,3
1541C,tick,10,11,4,160,0,49166,1,1,1,1,5,4,4
1541C,tick,11,12,4,160,0,49166,0,0,1,0,5,4,4
1541C,tick,12,13,5,96,2,49159,1,1,1,1,5,5,5
1541C,tick,13,14,5,96,2,49159,0,0,1,0,5,5,5
1541C,tick,14,15,5,96,1,49159,0,0,1,0,5,5,5
1541C,tick,15,16,5,96,1,49159,0,0,1,0,5,5,5
1541C,tick,16,17,5,96,0,49159,0,0,1,0,5,5,5
1541C,tick,17,18,5,96,0,49159,0,0,1,0,5,5,5
1541C,tick,18,19,6,234,0,49160,1,1,1,1,5,6,6
1541C,tick,19,20,6,234,0,49160,0,0,1,0,5,6,6
1541C,tick,20,21,7,76,1,49152,1,1,1,1,5,7,7
1541C,tick,21,22,7,76,1,49152,0,0,1,0,5,7,7
1541C,tick,22,23,7,76,0,49152,0,0,1,0,5,7,7
1541C,tick,23,24,7,76,0,49152,0,0,1,0,5,7,7
1541C,tick,24,25,8,169,0,49154,1,1,1,1,5,8,8
1541C,tick,25,26,8,169,0,49154,0,0,1,0,5,8,8
1541C,tick,26,27,9,162,0,49156,1,1,1,1,5,9,9
1541C,tick,27,28,9,162,0,49156,0,0,1,0,5,9,9
1541C,tick,28,29,10,32,2,49164,1,1,1,1,5,10,10
1541C,tick,29,30,10,32,2,49164,0,0,1,0,5,10,10
1541C,tick,30,31,10,32,1,49164,0,0,1,0,5,10,10
1541C,tick,31,32,10,32,1,49164,0,0,1,0,5,10,10
1541C,tick,32,33,10,32,0,49164,0,0,1,0,5,10,10
1541C,tick,33,34,10,32,0,49164,0,0,1,0,5,10,10
1541C,tick,34,35,11,160,0,49166,1,1,1,1,5,11,11
1541C,tick,35,36,11,160,0,49166,0,0,1,0,5,11,11
1541II,tick,0,1,1,169,0,49154,1,1,1,1,0,1,1
1541II,tick,1,2,1,169,0,49154,0,0,1,0,0,1,1
1541II,tick,2,3,2,162,0,49156,1,1,1,1,1,2,2
1541II,tick,3,4,2,162,0,49156,0,0,1,0,1,2,2
1541II,tick,4,5,3,32,2,49164,1,1,1,1,1,3,3
1541II,tick,5,6,3,32,2,49164,0,0,1,0,1,3,3
1541II,tick,6,7,3,32,1,49164,0,0,1,0,1,3,3
1541II,tick,7,8,3,32,1,49164,0,0,1,0,1,3,3
1541II,tick,8,9,3,32,0,49164,0,0,1,0,1,3,3
1541II,tick,9,10,3,32,0,49164,0,0,1,0,1,3,3
1541II,tick,10,11,4,160,0,49166,1,1,1,1,5,4,4
1541II,tick,11,12,4,160,0,49166,0,0,1,0,5,4,4
1541II,tick,12,13,5,96,2,49159,1,1,1,1,5,5,5
1541II,tick,13,14,5,96,2,49159,0,0,1,0,5,5,5
1541II,tick,14,15,5,96,1,49159,0,0,1,0,5,5,5
1541II,tick,15,16,5,96,1,49159,0,0,1,0,5,5,5
1541II,tick,16,17,5,96,0,49159,0,0,1,0,5,5,5
1541II,tick,17,18,5,96,0,49159,0,0,1,0,5,5,5
1541II,tick,18,19,6,234,0,49160,1,1,1,1,5,6,6
1541II,tick,19,20,6,234,0,49160,0,0,1,0,5,6,6
1541II,tick,20,21,7,76,1,49152,1,1,1,1,5,7,7
1541II,tick,21,22,7,76,1,49152,0,0,1,0,5,7,7
1541II,tick,22,23,7,76,0,49152,0,0,1,0,5,7,7
1541II,tick,23,24,7,76,0,49152,0,0,1,0,5,7,7
1541II,tick,24,25,8,169,0,49154,1,1,1,1,5,8,8
1541II,tick,25,26,8,169,0,49154,0,0,1,0,5,8,8
1541II,tick,26,27,9,162,0,49156,1,1,1,1,5,9,9
1541II,tick,27,28,9,162,0,49156,0,0,1,0,5,9,9
1541II,tick,28,29,10,32,2,49164,1,1,1,1,5,10,10
1541II,tick,29,30,10,32,2,49164,0,0,1,0,5,10,10
1541II,tick,30,31,10,32,1,49164,0,0,1,0,5,10,10
1541II,tick,31,32,10,32,1,49164,0,0,1,0,5,10,10
