rev,case,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_cycles_to_next,cpu_advanced,delta_cycles,delta_cpu_steps,sp,stack_01fe,stack_01ff,cadence_gap_max
1541,branch_not_taken,0,1,1,49156,208,2,1,1,1,255,0,0,0
1541,branch_not_taken,1,2,1,49156,208,2,0,1,0,255,0,0,0
1541,branch_not_taken,2,3,1,49156,208,1,0,1,0,255,0,0,0
1541,branch_not_taken,3,4,1,49156,208,1,0,1,0,255,0,0,0
1541,branch_not_taken,4,5,1,49156,208,0,0,1,0,255,0,0,0
1541,branch_not_taken,5,6,1,49156,208,0,0,1,0,255,0,0,0
1541,branch_not_taken,6,7,2,49157,0,1,1,1,1,255,0,0,5
1541,branch_not_taken,7,8,2,49157,0,1,0,1,0,255,0,0,5
1541,branch_not_taken,8,9,2,49157,0,0,0,1,0,255,0,0,5
1541,branch_not_taken,9,10,2,49157,0,0,0,1,0,255,0,0,5
1541,branch_not_taken,10,11,3,49158,192,1,1,1,1,255,0,0,5
1541,branch_not_taken,11,12,3,49158,192,1,0,1,0,255,0,0,5
1541,branch_not_taken,12,13,3,49158,192,0,0,1,0,255,0,0,5
1541,branch_not_taken,13,14,3,49158,192,0,0,1,0,255,0,0,5
1541,branch_not_taken,14,15,4,49159,0,1,1,1,1,255,0,0,5
1541,branch_not_taken,15,16,4,49159,0,1,0,1,0,255,0,0,5
1541,branch_not_taken,16,17,4,49159,0,0,0,1,0,255,0,0,5
1541,branch_not_taken,17,18,4,49159,0,0,0,1,0,255,0,0,5
1541,branch_not_taken,18,19,5,49160,0,1,1,1,1,255,0,0,5
1541,branch_not_taken,19,20,5,49160,0,1,0,1,0,255,0,0,5
1541,branch_not_taken,20,21,5,49160,0,0,0,1,0,255,0,0,5
1541,branch_not_taken,21,22,5,49160,0,0,0,1,0,255,0,0,5
1541,branch_not_taken,22,23,6,49161,0,1,1,1,1,255,0,0,5
1541,branch_not_taken,23,24,6,49161,0,1,0,1,0,255,0,0,5
1541,branch_taken_cross,0,1,1,49409,208,2,1,1,1,255,0,0,0
1541,branch_taken_cross,1,2,1,49409,208,2,0,1,0,255,0,0,0
1541,branch_taken_cross,2,3,1,49409,208,1,0,1,0,255,0,0,0
1541,branch_taken_cross,3,4,1,49409,208,1,0,1,0,255,0,0,0
1541,branch_taken_cross,4,5,1,49409,208,0,0,1,0,255,0,0,0
1541,branch_taken_cross,5,6,1,49409,208,0,0,1,0,255,0,0,0
1541,branch_taken_cross,6,7,2,49405,76,2,1,1,1,255,0,0,5
1541,branch_taken_cross,7,8,2,49405,76,2,0,1,0,255,0,0,5
1541,branch_taken_cross,8,9,2,49405,76,1,0,1,0,255,0,0,5
1541,branch_taken_cross,9,10,2,49405,76,1,0,1,0,255,0,0,5
1541,branch_taken_cross,10,11,2,49405,76,0,0,1,0,255,0,0,5
1541,branch_taken_cross,11,12,2,49405,76,0,0,1,0,255,0,0,5
1541,branch_taken_cross,12,13,3,49409,208,2,1,1,1,255,0,0,5
1541,branch_taken_cross,13,14,3,49409,208,2,0,1,0,255,0,0,5
1541,branch_taken_cross,14,15,3,49409,208,1,0,1,0,255,0,0,5
1541,branch_taken_cross,15,16,3,49409,208,1,0,1,0,255,0,0,5
1541,branch_taken_cross,16,17,3,49409,208,0,0,1,0,255,0,0,5
1541,branch_taken_cross,17,18,3,49409,208,0,0,1,0,255,0,0,5
1541,branch_taken_cross,18,19,4,49405,76,2,1,1,1,255,0,0,5
1541,branch_taken_cross,19,20,4,49405,76,2,0,1,0,255,0,0,5
1541,branch_taken_cross,20,21,4,49405,76,1,0,1,0,255,0,0,5
1541,branch_taken_cross,21,22,4,49405,76,1,0,1,0,255,0,0,5
1541,branch_taken_cross,22,23,4,49405,76,0,0,1,0,255,0,0,5
1541,branch_taken_cross,23,24,4,49405,76,0,0,1,0,255,0,0,5
1541,jsr_rts,0,1,1,49160,32,5,1,1,1,253,2,192,0
1541,jsr_rts,1,2,1,49160,32,5,0,1,0,253,2,192,0
1541,jsr_rts,2,3,1,49160,32,4,0,1,0,253,2,192,0
1541,jsr_rts,3,4,1,49160,32,4,0,1,0,253,2,192,0
1541,jsr_rts,4,5,1,49160,32,3,0,1,0,253,2,192,0
1541,jsr_rts,5,6,1,49160,32,3,0,1,0,253,2,192,0
1541,jsr_rts,6,7,1,49160,32,2,0,1,0,253,2,192,0
1541,jsr_rts,7,8,1,49160,32,2,0,1,0,253,2,192,0
1541,jsr_rts,8,9,1,49160,32,1,0,1,0,253,2,192,0
1541,jsr_rts,9,10,1,49160,32,1,0,1,0,253,2,192,0
1541,jsr_rts,10,11,1,49160,32,0,0,1,0,253,2,192,0
1541,jsr_rts,11,12,1,49160,32,0,0,1,0,253,2,192,0
1541,jsr_rts,12,13,2,49162,160,1,1,1,1,253,2,192,11
1541,jsr_rts,13,14,2,49162,160,1,0,1,0,253,2,192,11
1541,jsr_rts,14,15,2,49162,160,0,0,1,0,253,2,192,11
1541,jsr_rts,15,16,2,49162,160,0,0,1,0,253,2,192,11
1541,jsr_rts,16,17,3,49155,96,5,1,1,1,255,2,192,11
1541,jsr_rts,17,18,3,49155,96,5,0,1,0,255,2,192,11
1541,jsr_rts,18,19,3,49155,96,4,0,1,0,255,2,192,11
1541,jsr_rts,19,20,3,49155,96,4,0,1,0,255,2,192,11
1541,jsr_rts,20,21,3,49155,96,3,0,1,0,255,2,192,11
1541,jsr_rts,21,22,3,49155,96,3,0,1,0,255,2,192,11
1541,jsr_rts,22,23,3,49155,96,2,0,1,0,255,2,192,11
1541,jsr_rts,23,24,3,49155,96,2,0,1,0,255,2,192,11
1541,jsr_rts,24,25,3,49155,96,1,0,1,0,255,2,192,11
1541,jsr_rts,25,26,3,49155,96,1,0,1,0,255,2,192,11
1541,jsr_rts,26,27,3,49155,96,0,0,1,0,255,2,192,11
1541,jsr_rts,27,28,3,49155,96,0,0,1,0,255,2,192,11
1541C,branch_not_taken,0,1,1,49156,208,1,1,1,1,255,0,0,0
1541C,branch_not_taken,1,2,1,49156,208,1,0,1,0,255,0,0,0
1541C,branch_not_taken,2,3,1,49156,208,0,0,1,0,255,0,0,0
1541C,branch_not_taken,3,4,1,49156,208,0,0,1,0,255,0,0,0
1541C,branch_not_taken,4,5,2,49157,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,5,6,2,49157,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,6,7,3,49158,192,0,1,1,1,255,0,0,3
1541C,branch_not_taken,7,8,3,49158,192,0,0,1,0,255,0,0,3
1541C,branch_not_taken,8,9,4,49159,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,9,10,4,49159,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,10,11,5,49160,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,11,12,5,49160,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,12,13,6,49161,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,13,14,6,49161,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,14,15,7,49162,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,15,16,7,49162,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,16,17,8,49163,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,17,18,8,49163,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,18,19,9,49164,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,19,20,9,49164,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,20,21,10,49165,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,21,22,10,49165,0,0,0,1,0,255,0,0,3
1541C,branch_not_taken,22,23,11,49166,0,0,1,1,1,255,0,0,3
1541C,branch_not_taken,23,24,11,49166,0,0,0,1,0,255,0,0,3
