rev,phase,step,t1_counter,ifr,ier,t1_underflow,irq_asserted,t1_running
1541,timer,0,4,0,64,0,0,1
1541,timer,1,3,0,64,0,0,1
1541,timer,2,2,0,64,0,0,1
1541,timer,3,1,0,64,0,0,1
1541,timer,4,0,0,64,0,0,1
1541,timer,5,4,64,64,1,1,1
1541,timer,6,3,64,64,1,1,1
1541,timer,7,2,64,64,1,1,1
1541,timer,8,1,64,64,1,1,1
1541,timer,9,0,64,64,1,1,1
1541,timer,10,4,64,64,1,1,1
1541,timer,11,3,0,64,0,0,1
1541,timer,12,2,0,64,0,0,1
1541,timer,13,1,0,64,0,0,1
1541,timer,14,0,0,64,0,0,1
1541,timer,15,4,64,64,1,1,1
1541,timer,16,3,64,64,1,1,1
1541,timer,17,2,64,64,1,1,1
1541,timer,18,1,64,64,1,1,1
1541,timer,19,0,64,64,1,1,1
1541,timer,20,4,64,64,1,1,1
1541,timer,21,3,64,64,1,1,1
1541C,timer,0,4,0,64,0,0,1
1541C,timer,1,3,0,64,0,0,1
1541C,timer,2,2,0,64,0,0,1
1541C,timer,3,1,0,64,0,0,1
1541C,timer,4,0,0,64,0,0,1
1541C,timer,5,4,64,64,1,1,1
1541C,timer,6,3,64,64,1,1,1
1541C,timer,7,2,64,64,1,1,1
1541C,timer,8,1,64,64,1,1,1
1541C,timer,9,0,64,64,1,1,1
1541C,timer,10,4,64,64,1,1,1
1541C,timer,11,3,0,64,0,0,1
1541C,timer,12,2,0,64,0,0,1
1541C,timer,13,1,0,64,0,0,1
1541C,timer,14,0,0,64,0,0,1
1541C,timer,15,4,64,64,1,1,1
1541C,timer,16,3,64,64,1,1,1
1541C,timer,17,2,64,64,1,1,1
1541C,timer,18,1,64,64,1,1,1
1541C,timer,19,0,64,64,1,1,1
1541C,timer,20,4,64,64,1,1,1
1541C,timer,21,3,64,64,1,1,1
1541II,timer,0,4,0,64,0,0,1
1541II,timer,1,3,0,64,0,0,1
1541II,timer,2,2,0,64,0,0,1
1541II,timer,3,1,0,64,0,0,1
1541II,timer,4,0,0,64,0,0,1
1541II,timer,5,4,64,64,1,1,1
1541II,timer,6,3,64,64,1,1,1
1541II,timer,7,2,64,64,1,1,1
1541II,timer,8,1,64,64,1,1,1
1541II,timer,9,0,64,64,1,1,1
1541II,timer,10,4,64,64,1,1,1
1541II,timer,11,3,0,64,0,0,1
1541II,timer,12,2,0,64,0,0,1
1541II,timer,13,1,0,64,0,0,1
1541II,timer,14,0,0,64,0,0,1
1541II,timer,15,4,64,64,1,1,1
1541II,timer,16,3,64,64,1,1,1
1541II,timer,17,2,64,64,1,1,1
1541II,timer,18,1,64,64,1,1,1
1541II,timer,19,0,64,64,1,1,1
1541II,timer,20,4,64,64,1,1,1
1541II,timer,21,3,64,64,1,1,1
