rev,phase,step,sr,bits_remaining,edge_count,ifr,shift_irq,irq_asserted,shift_active
1541,shift,0,165,8,0,0,0,0,1
1541,shift,1,74,7,1,0,0,0,1
1541,shift,2,148,6,2,0,0,0,1
1541,shift,3,40,5,3,0,0,0,1
1541,shift,4,80,4,4,0,0,0,1
1541,shift,5,160,3,5,0,0,0,1
1541,shift,6,64,2,6,0,0,0,1
1541,shift,7,128,1,7,0,0,0,1
1541,shift,8,0,0,8,4,1,1,0
1541,shift,9,0,0,8,4,1,1,0
1541,shift,10,0,0,8,4,1,1,0
1541,shift,11,0,0,8,4,1,1,0
1541,shift,12,0,0,8,4,1,1,0
1541,shift,13,0,0,8,0,0,0,0
1541,shift,14,0,0,8,0,0,0,0
1541,shift,15,0,0,8,0,0,0,0
1541,shift,16,0,0,8,0,0,0,0
1541,shift,17,0,0,8,0,0,0,0
1541,shift,18,0,0,8,0,0,0,0
1541,shift,19,0,0,8,0,0,0,0
1541C,shift,0,165,8,0,0,0,0,1
1541C,shift,1,74,7,1,0,0,0,1
1541C,shift,2,148,6,2,0,0,0,1
1541C,shift,3,40,5,3,0,0,0,1
1541C,shift,4,80,4,4,0,0,0,1
1541C,shift,5,160,3,5,0,0,0,1
1541C,shift,6,64,2,6,0,0,0,1
1541C,shift,7,128,1,7,0,0,0,1
1541C,shift,8,0,0,8,4,1,1,0
1541C,shift,9,0,0,8,4,1,1,0
1541C,shift,10,0,0,8,4,1,1,0
1541C,shift,11,0,0,8,4,1,1,0
1541C,shift,12,0,0,8,4,1,1,0
1541C,shift,13,0,0,8,0,0,0,0
1541C,shift,14,0,0,8,0,0,0,0
1541C,shift,15,0,0,8,0,0,0,0
1541C,shift,16,0,0,8,0,0,0,0
1541C,shift,17,0,0,8,0,0,0,0
1541C,shift,18,0,0,8,0,0,0,0
1541C,shift,19,0,0,8,0,0,0,0
1541II,shift,0,165,8,0,0,0,0,1
1541II,shift,1,74,7,1,0,0,0,1
1541II,shift,2,148,6,2,0,0,0,1
1541II,shift,3,40,5,3,0,0,0,1
1541II,shift,4,80,4,4,0,0,0,1
1541II,shift,5,160,3,5,0,0,0,1
1541II,shift,6,64,2,6,0,0,0,1
1541II,shift,7,128,1,7,0,0,0,1
1541II,shift,8,0,0,8,4,1,1,0
1541II,shift,9,0,0,8,4,1,1,0
1541II,shift,10,0,0,8,4,1,1,0
1541II,shift,11,0,0,8,4,1,1,0
1541II,shift,12,0,0,8,4,1,1,0
1541II,shift,13,0,0,8,0,0,0,0
1541II,shift,14,0,0,8,0,0,0,0
1541II,shift,15,0,0,8,0,0,0,0
1541II,shift,16,0,0,8,0,0,0,0
1541II,shift,17,0,0,8,0,0,0,0
1541II,shift,18,0,0,8,0,0,0,0
1541II,shift,19,0,0,8,0,0,0,0
