rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via1_ifr,via2_ifr,via1_t1_irq,via2_sr_irq,iec_pull_clk,iec_pull_data,via1_t1_counter,via2_shift_bits,iec_state,eoi_pending,cadence_gap_max
1541,integrated,0,1,1,49154,169,1,0,0,0,0,1,1,4,7,0,0,0
1541,integrated,1,2,1,49154,169,0,0,0,0,0,1,1,3,6,0,0,0
1541,integrated,2,3,1,49154,169,0,0,0,0,0,0,0,2,5,0,0,0
1541,integrated,3,4,1,49154,169,0,0,0,0,0,0,0,1,4,0,0,0
1541,integrated,4,5,2,49162,32,1,0,0,0,0,1,1,0,3,0,0,3
1541,integrated,5,6,2,49162,32,0,64,0,1,0,1,1,5,2,0,0,3
1541,integrated,6,7,2,49162,32,0,64,0,1,0,0,0,4,1,1,0,3
1541,integrated,7,8,2,49162,32,0,64,4,1,1,0,0,3,0,0,0,3
1541,integrated,8,9,2,49162,32,0,64,4,1,1,1,1,2,0,0,0,3
1541,integrated,9,10,2,49162,32,0,64,4,1,1,1,1,1,0,0,0,3
1541,integrated,10,11,2,49162,32,0,64,4,1,1,0,0,0,0,0,0,3
1541,integrated,11,12,2,49162,32,0,64,4,1,1,0,0,5,0,0,0,3
1541,integrated,12,13,2,49162,32,0,64,4,1,1,1,1,4,0,0,0,3
1541,integrated,13,14,2,49162,32,0,64,4,1,1,0,0,3,0,1,0,3
1541,integrated,14,15,2,49162,32,0,0,4,0,1,0,0,2,0,0,0,3
1541,integrated,15,16,2,49162,32,0,0,4,0,1,0,0,1,0,0,0,3
1541,integrated,16,17,3,49164,162,1,0,4,0,1,1,1,0,0,0,0,11
1541,integrated,17,18,3,49164,162,0,64,4,1,1,1,1,5,0,0,0,11
1541,integrated,18,19,3,49164,162,0,64,4,1,1,0,0,4,0,0,0,11
1541,integrated,19,20,3,49164,162,0,64,4,1,1,0,0,3,0,0,0,11
1541,integrated,20,21,4,49157,96,1,64,0,1,0,0,0,2,0,1,0,11
1541,integrated,21,22,4,49157,96,0,64,0,1,0,1,1,1,0,0,0,11
1541,integrated,22,23,4,49157,96,0,64,0,1,0,0,0,0,0,0,0,11
1541,integrated,23,24,4,49157,96,0,64,0,1,0,0,0,5,0,0,0,11
1541,integrated,24,25,4,49157,96,0,64,0,1,0,1,1,4,0,0,0,11
1541,integrated,25,26,4,49157,96,0,64,0,1,0,1,1,3,0,0,0,11
1541,integrated,26,27,4,49157,96,0,64,0,1,0,0,0,2,0,0,0,11
1541,integrated,27,28,4,49157,96,0,64,0,1,0,0,0,1,0,1,0,11
1541,integrated,28,29,4,49157,96,0,64,0,1,0,1,1,0,0,0,0,11
1541,integrated,29,30,4,49157,96,0,64,0,1,0,1,1,5,0,0,0,11
1541,integrated,30,31,4,49157,96,0,64,0,1,0,0,0,4,0,0,0,11
1541,integrated,31,32,4,49157,96,0,64,0,1,0,0,0,3,0,0,0,11
1541,integrated,32,33,5,49160,208,1,64,0,1,0,1,1,2,0,0,0,11
1541,integrated,33,34,5,49160,208,0,64,0,1,0,1,1,1,0,0,0,11
1541,integrated,34,35,5,49160,208,0,64,0,1,0,0,0,0,0,1,0,11
1541,integrated,35,36,5,49160,208,0,64,0,1,0,0,0,5,0,0,0,11
1541C,integrated,0,1,1,49154,169,1,0,0,0,0,1,1,4,7,0,0,0
1541C,integrated,1,2,1,49154,169,0,0,0,0,0,1,1,3,6,0,0,0
1541C,integrated,2,3,2,49162,32,1,0,0,0,0,0,0,2,5,0,0,1
1541C,integrated,3,4,2,49162,32,0,0,0,0,0,0,0,1,4,0,0,1
1541C,integrated,4,5,2,49162,32,0,0,0,0,0,1,1,0,3,0,0,1
1541C,integrated,5,6,2,49162,32,0,64,0,1,0,1,1,5,2,0,0,1
1541C,integrated,6,7,2,49162,32,0,64,0,1,0,0,0,4,1,1,0,1
1541C,integrated,7,8,2,49162,32,0,64,4,1,1,0,0,3,0,0,0,1
1541C,integrated,8,9,3,49164,162,1,64,4,1,1,1,1,2,0,0,0,5
1541C,integrated,9,10,3,49164,162,0,64,4,1,1,1,1,1,0,0,0,5
1541C,integrated,10,11,4,49157,96,1,64,4,1,1,0,0,0,0,0,0,5
1541C,integrated,11,12,4,49157,96,0,64,4,1,1,0,0,5,0,0,0,5
1541C,integrated,12,13,4,49157,96,0,64,4,1,1,1,1,4,0,0,0,5
1541C,integrated,13,14,4,49157,96,0,64,4,1,1,0,0,3,0,1,0,5
1541C,integrated,14,15,4,49157,96,0,0,4,0,1,0,0,2,0,0,0,5
1541C,integrated,15,16,4,49157,96,0,0,4,0,1,0,0,1,0,0,0,5
1541C,integrated,16,17,5,49160,208,1,0,4,0,1,1,1,0,0,0,0,5
1541C,integrated,17,18,5,49160,208,0,64,4,1,1,1,1,5,0,0,0,5
