rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via1_ifr,via2_ifr,via_irq_or,iec_pull_clk,iec_pull_data,iec_rx_processed,iec_tx_served,pending_rx,pending_tx,status_code,cadence_gap_max
1541,bridge,0,1,1,49153,88,1,0,0,0,1,1,0,0,0,0,0,0
1541,bridge,1,2,1,49153,88,0,0,0,0,1,1,0,0,0,0,0,0
1541,bridge,2,3,1,49153,88,0,0,0,0,1,1,0,0,0,0,0,0
1541,bridge,3,4,1,49153,88,0,0,0,0,0,0,0,0,0,0,0,0
1541,bridge,4,5,2,49155,169,1,0,0,0,0,0,0,0,0,0,0,3
1541,bridge,5,6,2,49155,169,0,0,0,0,0,0,0,0,0,0,0,3
1541,bridge,6,7,2,49155,169,0,64,0,1,1,1,0,0,0,0,0,3
1541,bridge,7,8,2,49155,169,0,64,4,1,0,0,0,0,0,0,0,3
1541,bridge,8,9,3,49164,32,1,64,4,1,1,1,2,0,0,0,0,3
1541,bridge,9,10,3,49164,32,0,64,4,1,0,0,3,0,0,0,0,3
1541,bridge,10,11,3,49164,32,0,64,4,1,0,0,4,0,0,0,0,3
1541,bridge,11,12,3,49164,32,0,64,4,1,0,0,4,0,0,0,0,3
1541,bridge,12,13,3,49164,32,0,64,4,1,1,1,4,0,0,0,0,3
1541,bridge,13,14,3,49164,32,0,64,4,1,1,1,4,0,0,0,0,3
1541,bridge,14,15,3,49164,32,0,64,4,1,1,1,4,0,0,0,0,3
1541,bridge,15,16,3,49164,32,0,64,4,1,0,0,4,0,0,0,0,3
1541,bridge,16,17,3,49164,32,0,0,4,1,0,0,4,0,0,0,0,3
1541,bridge,17,18,3,49164,32,0,0,4,1,0,0,4,0,0,0,0,3
1541,bridge,18,19,3,49164,32,0,0,4,1,1,1,4,0,0,2,0,3
1541,bridge,19,20,3,49164,32,0,0,4,1,1,1,4,1,0,1,0,3
1541,bridge,20,21,4,49166,162,1,64,4,1,1,1,4,1,0,1,0,11
1541,bridge,21,22,4,49166,162,0,64,4,1,0,0,4,1,0,1,0,11
1541,bridge,22,23,4,49166,162,0,64,4,1,0,0,4,1,0,1,0,11
1541,bridge,23,24,4,49166,162,0,64,4,1,0,0,4,1,0,1,0,11
1541,bridge,24,25,5,49158,96,1,64,0,1,1,1,4,1,0,1,0,11
1541,bridge,25,26,5,49158,96,0,64,0,1,0,0,4,1,0,1,0,11
1541,bridge,26,27,5,49158,96,0,64,0,1,1,1,4,1,0,1,0,11
1541,bridge,27,28,5,49158,96,0,64,0,1,0,0,4,2,0,0,0,11
1541,bridge,28,29,5,49158,96,0,64,0,1,0,1,4,2,0,0,0,11
1541,bridge,29,30,5,49158,96,0,64,0,1,0,1,4,2,0,0,0,11
1541,bridge,30,31,5,49158,96,0,0,0,0,1,1,4,2,0,0,0,11
1541,bridge,31,32,5,49158,96,0,0,4,1,1,1,4,2,0,0,0,11
1541,bridge,32,33,5,49158,96,0,0,4,1,1,1,4,2,0,0,0,11
1541,bridge,33,34,5,49158,96,0,0,4,1,0,0,4,2,0,0,0,11
1541,bridge,34,35,5,49158,96,0,64,0,1,0,0,4,2,0,0,0,11
1541,bridge,35,36,5,49158,96,0,64,0,1,0,0,4,2,0,0,0,11
1541,bridge,36,37,6,49152,76,1,64,0,1,1,1,4,2,0,0,0,11
1541,bridge,37,38,6,49152,76,0,64,0,1,1,1,4,2,0,0,0,11
1541,bridge,38,39,6,49152,76,0,64,0,1,1,1,4,2,0,0,0,11
1541,bridge,39,40,6,49152,76,0,64,0,1,0,0,4,2,0,0,0,11
1541,bridge,40,41,6,49152,76,0,64,0,1,0,0,4,2,0,0,0,11
1541,bridge,41,42,6,49152,76,0,64,0,1,0,0,4,2,0,0,0,11
1541C,bridge,0,1,1,49153,88,1,0,0,0,1,1,0,0,0,0,0,0
1541C,bridge,1,2,1,49153,88,0,0,0,0,1,1,0,0,0,0,0,0
1541C,bridge,2,3,2,49155,169,1,0,0,0,1,1,0,0,0,0,0,1
1541C,bridge,3,4,2,49155,169,0,0,0,0,0,0,0,0,0,0,0,1
1541C,bridge,4,5,3,49164,32,1,0,0,0,0,0,0,0,0,0,0,1
1541C,bridge,5,6,3,49164,32,0,0,0,0,0,0,0,0,0,0,0,1
1541C,bridge,6,7,3,49164,32,0,64,0,1,1,1,0,0,0,0,0,1
1541C,bridge,7,8,3,49164,32,0,64,4,1,0,0,0,0,0,0,0,1
1541C,bridge,8,9,3,49164,32,0,64,4,1,1,1,2,0,0,0,0,1
1541C,bridge,9,10,3,49164,32,0,64,4,1,0,0,3,0,0,0,0,1
1541C,bridge,10,11,4,49166,162,1,64,4,1,0,0,4,0,0,0,0,5
1541C,bridge,11,12,4,49166,162,0,64,4,1,0,0,4,0,0,0,0,5
1541C,bridge,12,13,5,49158,96,1,64,4,1,1,1,4,0,0,0,0,5
1541C,bridge,13,14,5,49158,96,0,64,4,1,1,1,4,0,0,0,0,5
1541C,bridge,14,15,5,49158,96,0,64,4,1,1,1,4,0,0,0,0,5
1541C,bridge,15,16,5,49158,96,0,64,4,1,0,0,4,0,0,0,0,5
1541C,bridge,16,17,5,49158,96,0,0,4,1,0,0,4,0,0,0,0,5
1541C,bridge,17,18,5,49158,96,0,0,4,1,0,0,4,0,0,0,0,5
1541C,bridge,18,19,6,49152,76,1,0,4,1,1,1,4,0,0,2,0,5
1541C,bridge,19,20,6,49152,76,0,0,4,1,1,1,4,1,0,1,0,5
1541C,bridge,20,21,6,49152,76,0,64,4,1,1,1,4,1,0,1,0,5
1541C,bridge,21,22,6,49152,76,0,64,4,1,0,0,4,1,0,1,0,5
1541C,bridge,22,23,7,49153,88,1,64,4,1,0,0,4,1,0,1,0,5
1541C,bridge,23,24,7,49153,88,0,64,4,1,0,0,4,1,0,1,0,5
1541C,bridge,24,25,8,49155,169,1,64,0,1,1,1,4,1,0,1,0,5
1541C,bridge,25,26,8,49155,169,0,64,0,1,0,0,4,1,0,1,0,5
1541C,bridge,26,27,9,49164,32,1,64,0,1,1,1,4,1,0,1,0,5
1541C,bridge,27,28,9,49164,32,0,64,0,1,0,0,4,2,0,0,0,5
1541C,bridge,28,29,9,49164,32,0,64,0,1,0,1,4,2,0,0,0,5
1541C,bridge,29,30,9,49164,32,0,64,0,1,0,1,4,2,0,0,0,5
1541C,bridge,30,31,9,49164,32,0,0,0,0,1,1,4,2,0,0,0,5
1541C,bridge,31,32,9,49164,32,0,0,4,1,1,1,4,2,0,0,0,5
1541C,bridge,32,33,10,49166,162,1,0,4,1,1,1,4,2,0,0,0,5
1541C,bridge,33,34,10,49166,162,0,0,4,1,0,0,4,2,0,0,0,5
1541C,bridge,34,35,11,49158,96,1,64,0,1,0,0,4,2,0,0,0,5
1541C,bridge,35,36,11,49158,96,0,64,0,1,0,0,4,2,0,0,0,5
1541C,bridge,36,37,11,49158,96,0,64,0,1,1,1,4,2,0,0,0,5
1541C,bridge,37,38,11,49158,96,0,64,0,1,1,1,4,2,0,0,0,5
1541C,bridge,38,39,11,49158,96,0,64,0,1,1,1,4,2,0,0,0,5
1541C,bridge,39,40,11,49158,96,0,64,0,1,0,0,4,2,0,0,0,5
1541C,bridge,40,41,12,49152,76,1,64,0,1,0,0,4,2,0,0,0,5
1541C,bridge,41,42,12,49152,76,0,64,0,1,0,0,4,2,0,0,0,5
1541II,bridge,0,1,1,49153,88,1,0,0,0,1,1,0,0,0,0,0,0
1541II,bridge,1,2,1,49153,88,0,0,0,0,1,1,0,0,0,0,0,0
1541II,bridge,2,3,2,49155,169,1,0,0,0,1,1,0,0,0,0,0,1
1541II,bridge,3,4,2,49155,169,0,0,0,0,0,0,0,0,0,0,0,1
1541II,bridge,4,5,3,49164,32,1,0,0,0,0,0,0,0,0,0,0,1
1541II,bridge,5,6,3,49164,32,0,0,0,0,0,0,0,0,0,0,0,1
1541II,bridge,6,7,3,49164,32,0,64,0,1,1,1,0,0,0,0,0,1
1541II,bridge,7,8,3,49164,32,0,64,4,1,0,0,0,0,0,0,0,1
1541II,bridge,8,9,3,49164,32,0,64,4,1,1,1,2,0,0,0,0,1
1541II,bridge,9,10,3,49164,32,0,64,4,1,0,0,3,0,0,0,0,1
1541II,bridge,10,11,4,49166,162,1,64,4,1,0,0,4,0,0,0,0,5
1541II,bridge,11,12,4,49166,162,0,64,4,1,0,0,4,0,0,0,0,5
1541II,bridge,12,13,5,49158,96,1,64,4,1,1,1,4,0,0,0,0,5
1541II,bridge,13,14,5,49158,96,0,64,4,1,1,1,4,0,0,0,0,5
1541II,bridge,14,15,5,49158,96,0,64,4,1,1,1,4,0,0,0,0,5
1541II,bridge,15,16,5,49158,96,0,64,4,1,0,0,4,0,0,0,0,5
1541II,bridge,16,17,5,49158,96,0,0,4,1,0,0,4,0,0,0,0,5
1541II,bridge,17,18,5,49158,96,0,0,4,1,0,0,4,0,0,0,0,5
