rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,cpu_advanced,via_irq_or,eoi_pending,eoi_wait_ticks,eoi_timeout_count,tx_timeout_count,rx_timeout_count,iec_state,iec_pull_clk,iec_pull_data,pending_tx,status_code,cadence_gap_max
1541,timeout,0,1,1,49153,88,1,0,0,0,0,0,0,0,1,1,0,0,0
1541,timeout,1,2,1,49153,88,0,0,0,0,0,0,0,0,1,1,0,0,0
1541,timeout,2,3,1,49153,88,0,0,0,0,0,0,0,0,1,1,0,0,0
1541,timeout,3,4,1,49153,88,0,0,0,0,0,0,0,0,1,1,0,0,0
1541,timeout,4,5,2,49155,169,1,0,0,0,0,0,0,0,0,0,0,0,3
1541,timeout,5,6,2,49155,169,0,0,0,0,0,0,0,0,0,0,0,0,3
1541,timeout,6,7,2,49155,169,0,0,0,0,0,0,0,1,0,0,0,0,3
1541,timeout,7,8,2,49155,169,0,1,0,0,0,0,0,0,0,0,0,0,3
1541,timeout,8,9,3,49162,32,1,1,0,0,0,0,0,0,1,1,0,0,3
1541,timeout,9,10,3,49162,32,0,1,0,0,0,0,0,0,1,1,0,0,3
1541,timeout,10,11,3,49162,32,0,1,0,0,0,0,0,0,1,1,0,0,3
1541,timeout,11,12,3,49162,32,0,1,0,0,0,0,0,0,1,1,0,0,3
1541,timeout,12,13,3,49162,32,0,1,0,0,0,0,0,0,0,0,0,0,3
1541,timeout,13,14,3,49162,32,0,1,0,0,0,0,0,1,0,0,0,0,3
1541,timeout,14,15,3,49162,32,0,1,0,0,0,0,0,0,0,0,0,0,3
1541,timeout,15,16,3,49162,32,0,1,0,0,0,0,0,0,0,0,0,0,3
1541,timeout,16,17,3,49162,32,0,1,1,251,0,0,0,4,1,1,0,0,3
1541,timeout,17,18,3,49162,32,0,1,1,252,0,0,0,4,1,1,0,0,3
1541,timeout,18,19,3,49162,32,0,1,1,253,0,0,0,4,1,1,0,0,3
1541,timeout,19,20,3,49162,32,0,1,1,254,0,0,0,4,1,1,0,0,3
1541,timeout,20,21,4,49164,162,1,1,1,255,0,0,0,4,0,0,0,0,11
1541,timeout,21,22,4,49164,162,0,1,1,256,0,0,0,4,0,0,0,0,11
1541,timeout,22,23,4,49164,162,0,1,0,0,1,0,0,4,0,0,0,74,11
1541,timeout,23,24,4,49164,162,0,1,0,0,1,0,0,3,0,0,0,74,11
1541,timeout,24,25,5,49158,96,1,1,0,0,1,0,0,3,1,1,0,74,11
1541,timeout,25,26,5,49158,96,0,1,0,0,1,0,0,3,1,1,0,74,11
1541,timeout,26,27,5,49158,96,0,1,0,0,1,0,0,3,1,1,0,74,11
1541,timeout,27,28,5,49158,96,0,1,0,0,1,0,0,3,1,1,0,74,11
1541,timeout,28,29,5,49158,96,0,1,0,0,1,0,0,3,0,0,0,74,11
1541,timeout,29,30,5,49158,96,0,1,0,0,1,0,0,3,0,0,0,74,11
1541,timeout,30,31,5,49158,96,0,1,0,0,1,0,0,3,0,0,0,74,11
1541,timeout,31,32,5,49158,96,0,1,0,0,1,0,0,3,0,0,0,74,11
1541,timeout,32,33,5,49158,96,0,1,0,0,1,1,0,3,1,1,0,74,11
1541,timeout,33,34,5,49158,96,0,1,0,0,1,1,0,3,1,1,0,74,11
1541,timeout,34,35,5,49158,96,0,1,0,0,1,1,0,1,0,0,0,74,11
1541,timeout,35,36,5,49158,96,0,1,0,0,1,1,0,3,1,1,0,74,11
1541,timeout,36,37,6,49161,208,1,1,0,0,1,1,0,3,0,0,0,74,11
1541,timeout,37,38,6,49161,208,0,1,0,0,1,1,0,3,0,0,0,74,11
1541,timeout,38,39,6,49161,208,0,1,0,0,1,1,0,3,0,0,0,74,11
