rev,phase,step,cycles,cpu_step_count,pc,cpu_last_opcode,via_access,iec_edge_count,pending_via_to_iec_latency,last_via_to_iec_latency,phase_bucket,iec_state,atn,clk,data,pull_clk,pull_data,pending_rx,pending_tx,rx_processed,tx_served,cpu_advanced,cadence_gap_max
1541,phase_map,0,1,1,49154,169,1,2,-1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
1541,phase_map,1,2,1,49154,169,0,1,-1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
1541,phase_map,2,3,1,49154,169,2,3,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1541,phase_map,3,4,1,49154,169,0,1,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1541,phase_map,4,5,2,49162,32,0,1,-1,0,0,0,1,1,1,0,0,0,0,0,0,1,3
1541,phase_map,5,6,2,49162,32,3,1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,3
1541,phase_map,6,7,2,49162,32,1,3,-1,0,0,0,1,1,1,1,1,0,0,0,0,0,3
1541,phase_map,7,8,2,49162,32,0,3,-1,0,1,1,0,1,1,0,0,0,0,0,0,0,3
1541,phase_map,8,9,2,49162,32,2,2,-1,0,0,0,1,0,1,0,0,0,0,3,0,0,3
1541,phase_map,9,10,2,49162,32,0,2,-1,0,0,0,1,1,0,0,0,0,0,4,0,0,3
1541,phase_map,10,11,2,49162,32,0,1,-1,0,0,0,1,1,1,0,0,0,0,4,0,0,3
1541,phase_map,11,12,2,49162,32,0,0,-1,0,0,0,1,1,1,0,0,0,0,4,0,0,3
1541,phase_map,12,13,2,49162,32,1,2,-1,0,0,0,1,1,1,1,1,0,0,4,0,0,3
1541,phase_map,13,14,2,49162,32,0,2,-1,0,0,0,1,0,0,1,1,0,0,4,0,0,3
1541,phase_map,14,15,2,49162,32,2,4,-1,0,0,0,1,1,1,0,0,0,0,4,0,0,3
1541,phase_map,15,16,2,49162,32,3,1,-1,0,1,1,0,1,1,0,0,0,0,4,0,0,3
1541,phase_map,16,17,3,49164,162,0,1,-1,0,0,0,1,1,1,0,0,0,0,4,0,1,11
1541,phase_map,17,18,3,49164,162,0,1,-1,0,0,0,1,1,0,0,0,0,0,4,0,0,11
1541,phase_map,18,19,3,49164,162,1,4,-1,0,2,3,1,0,1,1,1,0,1,4,1,0,11
1541,phase_map,19,20,3,49164,162,0,1,-1,0,2,3,1,1,1,1,1,0,1,4,1,0,11
1541,phase_map,20,21,4,49157,96,2,2,-1,0,2,3,1,1,1,0,0,0,1,4,1,1,11
1541,phase_map,21,22,4,49157,96,0,1,-1,0,2,3,1,1,0,0,0,0,1,4,1,0,11
1541,phase_map,22,23,4,49157,96,0,1,-1,0,2,3,1,1,1,0,0,0,1,4,1,0,11
1541,phase_map,23,24,4,49157,96,0,1,-1,0,2,3,1,0,1,0,0,0,1,4,1,0,11
1541,phase_map,24,25,4,49157,96,1,3,-1,0,2,3,1,1,1,1,1,0,1,4,1,0,11
1541,phase_map,25,26,4,49157,96,3,1,-1,0,2,3,1,1,0,1,1,0,1,4,1,0,11
1541,phase_map,26,27,4,49157,96,2,2,-1,0,2,3,1,1,1,0,1,0,1,4,1,0,11
1541,phase_map,27,28,4,49157,96,0,0,-1,0,2,3,1,1,1,0,1,0,1,4,1,0,11
1541,phase_map,28,29,4,49157,96,0,1,-1,0,2,3,1,0,1,0,1,0,1,4,1,0,11
1541,phase_map,29,30,4,49157,96,0,2,-1,0,2,3,1,1,0,0,1,0,1,4,1,0,11
1541,phase_map,30,31,4,49157,96,1,2,-1,0,2,3,1,1,1,1,1,0,1,4,1,0,11
1541,phase_map,31,32,4,49157,96,0,3,-1,0,1,1,0,1,1,0,0,0,1,4,1,0,11
