rev,phase,step,cycles,mode,atn,clk,data,pull_clk,pull_data,edge_slew_ticks,polarity_mismatch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541,signal,0,1,0,1,0,0,1,1,0,0,-1,0,0,0,0,0,1,0
1541,signal,1,2,0,1,0,0,1,1,1,0,-1,0,0,0,0,0,1,0
1541,signal,2,3,0,1,0,0,1,1,2,0,-1,0,0,0,0,0,1,0
1541,signal,3,4,0,1,0,0,0,0,3,0,-1,0,0,0,0,0,1,0
1541,signal,4,5,0,1,1,1,0,0,0,0,-1,0,0,0,0,0,2,3
1541,signal,5,6,0,1,1,1,0,0,1,0,-1,0,0,0,0,0,2,3
1541,signal,6,7,0,1,1,1,0,0,2,0,-1,0,0,0,0,0,2,3
1541,signal,7,8,0,1,0,0,1,1,0,0,-1,0,0,0,0,0,2,3
1541,signal,8,9,1,0,0,1,0,0,0,0,0,1,0,67,4,0,2,3
1541,signal,9,10,0,1,0,0,1,1,0,0,0,0,0,67,4,0,2,3
1541,signal,10,11,0,1,1,1,0,0,0,0,0,0,0,67,4,0,2,3
1541,signal,11,12,0,1,1,1,0,0,1,0,0,0,0,67,4,0,2,3
1541,signal,12,13,0,1,1,1,0,0,2,0,0,0,0,67,4,0,2,3
1541,signal,13,14,0,1,0,1,0,0,0,0,0,0,0,67,4,0,2,3
1541,signal,14,15,0,1,0,0,1,1,0,0,0,0,0,67,4,0,2,3
1541,signal,15,16,0,1,0,0,1,1,1,0,0,0,0,67,4,0,2,3
1541,signal,16,17,0,1,0,0,1,1,2,0,0,0,0,67,4,0,3,11
1541,signal,17,18,1,0,1,1,0,0,0,0,0,1,0,67,4,0,3,11
1541,signal,18,19,2,1,0,1,0,0,0,0,0,3,0,69,4,1,3,11
1541,signal,19,20,2,1,1,0,0,1,0,0,0,3,0,69,4,1,3,11
1541,signal,20,21,2,1,1,0,0,1,1,0,0,3,0,69,4,1,4,11
1541,signal,21,22,2,1,0,0,1,1,0,1,0,3,0,69,4,1,4,11
1541,signal,22,23,2,1,0,0,1,1,1,1,0,3,0,69,4,1,4,11
1541,signal,23,24,2,1,0,0,1,1,2,1,0,3,0,69,4,1,4,11
1541,signal,24,25,2,1,1,0,0,1,0,0,0,3,0,69,4,1,4,11
1541,signal,25,26,2,1,1,0,0,1,1,0,0,3,0,69,4,1,4,11
1541,signal,26,27,2,1,1,0,0,1,2,0,0,3,0,69,4,1,4,11
1541,signal,27,28,2,1,1,0,0,1,3,0,0,3,0,69,4,1,4,11
1541,signal,28,29,2,1,0,0,1,1,0,1,0,3,0,69,4,1,4,11
1541,signal,29,30,2,1,0,0,1,1,1,1,0,3,0,69,4,1,4,11
1541,signal,30,31,2,1,0,0,1,1,2,1,0,3,0,69,4,1,4,11
1541,signal,31,32,2,1,1,0,0,1,0,0,0,3,0,69,4,1,4,11
1541,signal,32,33,2,1,1,0,0,1,1,0,0,3,0,69,4,1,5,11
1541,signal,33,34,2,1,0,0,0,1,0,0,0,3,0,69,4,1,5,11
1541,signal,34,35,2,1,1,0,0,1,0,0,0,3,0,69,4,1,5,11
1541,signal,35,36,2,0,1,1,0,0,0,0,0,1,0,69,4,1,5,11
1541,signal,36,37,2,1,0,0,1,1,0,1,0,3,0,69,4,1,5,11
1541,signal,37,38,2,1,0,0,1,1,1,1,0,3,0,69,4,1,5,11
1541,signal,38,39,2,1,0,0,0,1,2,0,0,3,0,68,4,2,6,11
1541,signal,39,40,2,1,1,0,0,1,0,0,0,3,0,68,4,2,6,11
1541,signal,40,41,2,1,1,0,0,1,1,0,0,3,0,68,4,2,6,11
1541,signal,41,42,2,1,1,0,0,1,2,0,0,3,0,68,4,2,6,11
1541,signal,42,43,1,1,0,0,1,1,0,0,0,2,0,68,5,2,7,11
1541,signal,43,44,1,1,0,0,1,1,1,0,0,2,0,68,5,2,7,11
1541,signal,44,45,1,1,0,0,1,1,2,0,0,2,0,68,5,2,7,11
1541,signal,45,46,1,1,1,0,0,0,0,0,0,2,0,68,5,2,7,11
1541,signal,46,47,1,1,1,1,0,0,0,0,0,2,0,68,5,2,7,11
1541,signal,47,48,1,1,1,1,0,0,1,0,0,2,0,68,5,2,7,11
1541,signal,48,49,1,1,0,1,0,0,0,0,0,2,0,68,5,2,7,11
1541,signal,49,50,1,1,0,0,1,1,0,0,0,2,0,68,5,2,7,11
1541,signal,50,51,1,1,0,0,1,1,1,0,0,2,0,68,5,2,7,11
1541,signal,51,52,1,1,0,0,1,1,2,0,0,2,0,68,5,2,7,11
