rev,phase,step,cycles,mode,atn_level,clk_level,data_level,atn_rise_ticks,atn_fall_ticks,clk_rise_ticks,clk_fall_ticks,data_rise_ticks,data_fall_ticks,polarity_glitch,turnaround_ticks,iec_state,pending_rx,pending_tx,rx_processed,tx_served,cpu_step_count,cadence_gap_max
1541,analog,0,1,0,1000,1000,1000,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
1541,analog,1,2,0,1000,500,480,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
1541,analog,2,3,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,0,0,0,1,0
1541,analog,3,4,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,0,0,0,1,0
1541,analog,4,5,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,3
1541,analog,5,6,0,1000,180,170,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,3
1541,analog,6,7,0,1000,360,340,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,3
1541,analog,7,8,0,1000,540,510,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,3
1541,analog,8,9,0,1000,40,680,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,3
1541,analog,9,10,0,1000,220,160,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,3
1541,analog,10,11,0,550,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,2,3
1541,analog,11,12,0,770,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,2,3
1541,analog,12,13,0,990,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,2,3
1541,analog,13,14,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,2,3
1541,analog,14,15,0,1000,180,170,0,0,0,2,0,2,0,-1,0,0,67,4,0,2,3
1541,analog,15,16,0,1000,360,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,2,3
1541,analog,16,17,0,1000,540,170,0,0,0,2,0,2,0,-1,0,0,67,4,0,3,11
1541,analog,17,18,0,1000,720,340,0,0,4,2,0,2,0,-1,0,0,67,4,0,3,11
1541,analog,18,19,0,1000,220,510,0,0,4,1,0,2,0,-1,0,0,67,4,0,3,11
1541,analog,19,20,0,1000,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,3,11
1541,analog,20,21,0,1000,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,4,11
1541,analog,21,22,0,550,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,4,11
1541,analog,22,23,0,770,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,4,11
1541,analog,23,24,0,990,0,170,0,0,4,1,0,2,0,-1,0,0,67,4,0,4,11
1541,analog,24,25,2,1000,180,340,0,0,4,1,0,2,1,0,3,0,71,4,0,4,11
1541,analog,25,26,2,1000,360,510,0,0,4,1,0,2,1,0,3,0,71,4,0,4,11
1541,analog,26,27,2,1000,540,680,0,0,4,1,0,2,1,0,3,0,71,4,0,4,11
1541,analog,27,28,2,1000,720,160,0,0,4,1,0,2,0,0,3,0,71,4,0,4,11
1541,analog,28,29,2,1000,220,0,0,0,4,1,0,2,1,0,3,0,70,4,1,4,11
1541,analog,29,30,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,4,11
1541,analog,30,31,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,4,11
1541,analog,31,32,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,4,11
1541,analog,32,33,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,5,11
1541,analog,33,34,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,5,11
1541,analog,34,35,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,5,11
1541,analog,35,36,2,1000,360,340,0,0,4,1,0,2,1,0,3,0,70,4,1,5,11
1541,analog,36,37,2,1000,540,510,0,0,4,1,0,2,1,0,3,0,70,4,1,5,11
1541,analog,37,38,2,1000,40,0,0,0,4,1,0,2,1,0,3,0,70,4,1,5,11
1541,analog,38,39,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,6,11
1541,analog,39,40,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,6,11
1541,analog,40,41,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,6,11
1541,analog,41,42,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,6,11
1541,analog,42,43,2,1000,360,340,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,43,44,2,550,0,510,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,44,45,2,770,180,680,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,45,46,2,990,360,160,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,46,47,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,47,48,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,48,49,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,49,50,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,50,51,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,51,52,2,1000,360,0,0,0,4,1,0,2,1,0,3,0,70,4,1,7,11
1541,analog,52,53,1,1000,540,170,0,0,4,1,0,2,0,0,2,0,70,5,1,7,11
1541,analog,53,54,1,1000,40,340,0,0,4,1,0,2,0,0,2,0,70,5,1,7,11
1541,analog,54,55,1,550,220,510,0,0,4,1,0,2,0,0,2,0,70,5,1,8,11
1541,analog,55,56,1,770,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,8,11
1541,analog,56,57,1,990,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,8,11
1541,analog,57,58,1,1000,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,8,11
1541,analog,58,59,1,1000,0,0,0,0,4,1,0,2,0,0,2,0,70,5,1,9,11
1541,analog,59,60,1,1000,180,170,0,0,4,1,0,2,0,0,2,0,70,5,1,9,11
1541,analog,60,61,1,1000,360,340,0,0,4,1,0,2,0,0,2,0,70,5,1,9,11
1541,analog,61,62,1,1000,540,510,0,0,4,1,0,2,0,0,2,0,70,5,1,9,11
1541,analog,62,63,0,1000,720,680,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,63,64,0,1000,220,160,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,64,65,0,1000,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,65,66,0,550,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,66,67,0,770,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,67,68,0,990,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,68,69,0,1000,0,170,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,69,70,0,1000,180,0,0,0,4,1,0,2,0,0,0,0,70,5,1,9,11
1541,analog,70,71,0,1000,360,170,0,0,4,1,0,2,0,0,0,0,70,5,1,10,11
1541,analog,71,72,0,1000,540,340,0,0,4,1,0,2,0,0,0,0,70,5,1,10,11
1541,analog,72,73,0,1000,720,510,0,0,4,1,0,2,0,0,0,0,70,5,1,10,11
1541,analog,73,74,0,1000,220,0,0,0,4,1,0,2,0,0,0,0,70,5,1,10,11
1541,analog,74,75,0,1000,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,10,11
1541,analog,75,76,0,1000,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,10,11
1541,analog,76,77,0,550,0,0,0,0,4,1,0,2,0,0,0,0,70,5,1,11,11
1541,analog,77,78,0,770,180,170,0,0,4,1,0,2,0,0,0,0,70,5,1,11,11
1541,analog,78,79,0,990,0,340,0,0,4,1,0,2,0,0,0,0,70,5,1,11,11
1541,analog,79,80,0,1000,180,510,0,0,4,1,0,2,0,0,0,0,70,5,1,11,11
1541C,analog,0,1,0,1000,1000,1000,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
1541C,analog,1,2,0,1000,500,480,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
1541C,analog,2,3,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,1
1541C,analog,3,4,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,1
1541C,analog,4,5,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,1
1541C,analog,5,6,0,1000,180,170,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,1
1541C,analog,6,7,0,1000,360,340,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,1
1541C,analog,7,8,0,1000,540,510,0,0,0,2,0,2,0,-1,0,0,0,0,0,2,1
1541C,analog,8,9,0,1000,40,680,0,0,0,2,0,2,0,-1,0,0,0,0,0,3,5
1541C,analog,9,10,0,1000,220,160,0,0,0,2,0,2,0,-1,0,0,0,0,0,3,5
1541C,analog,10,11,0,550,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541C,analog,11,12,0,770,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541C,analog,12,13,0,990,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541C,analog,13,14,0,1000,0,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541C,analog,14,15,0,1000,180,170,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541C,analog,15,16,0,1000,360,0,0,0,0,2,0,2,0,-1,0,0,67,4,0,4,5
1541C,analog,16,17,0,1000,540,170,0,0,0,2,0,2,0,-1,0,0,67,4,0,5,5
1541C,analog,17,18,0,1000,720,340,0,0,4,2,0,2,0,-1,0,0,67,4,0,5,5
1541C,analog,18,19,0,1000,220,510,0,0,4,1,0,2,0,-1,0,0,67,4,0,5,5
1541C,analog,19,20,0,1000,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,5,5
1541C,analog,20,21,0,1000,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,6,5
1541C,analog,21,22,0,550,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,6,5
1541C,analog,22,23,0,770,0,0,0,0,4,1,0,2,0,-1,0,0,67,4,0,7,5
1541C,analog,23,24,0,990,0,170,0,0,4,1,0,2,0,-1,0,0,67,4,0,7,5
1541C,analog,24,25,2,1000,180,340,0,0,4,1,0,2,1,0,3,0,71,4,0,7,5
1541C,analog,25,26,2,1000,360,510,0,0,4,1,0,2,1,0,3,0,71,4,0,7,5
1541C,analog,26,27,2,1000,540,680,0,0,4,1,0,2,1,0,3,0,71,4,0,7,5
1541C,analog,27,28,2,1000,720,160,0,0,4,1,0,2,0,0,3,0,71,4,0,7,5
1541C,analog,28,29,2,1000,220,0,0,0,4,1,0,2,1,0,3,0,70,4,1,8,5
1541C,analog,29,30,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,8,5
1541C,analog,30,31,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541C,analog,31,32,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541C,analog,32,33,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541C,analog,33,34,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541C,analog,34,35,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541C,analog,35,36,2,1000,360,340,0,0,4,1,0,2,1,0,3,0,70,4,1,9,5
1541C,analog,36,37,2,1000,540,510,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541C,analog,37,38,2,1000,40,0,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541C,analog,38,39,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541C,analog,39,40,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,10,5
1541C,analog,40,41,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,11,5
1541C,analog,41,42,2,1000,180,170,0,0,4,1,0,2,1,0,3,0,70,4,1,11,5
1541C,analog,42,43,2,1000,360,340,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541C,analog,43,44,2,550,0,510,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541C,analog,44,45,2,770,180,680,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541C,analog,45,46,2,990,360,160,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541C,analog,46,47,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
1541C,analog,47,48,2,1000,0,0,0,0,4,1,0,2,1,0,3,0,70,4,1,12,5
