rev,phase,step,cycles,host_atn,host_clk,host_data,drive_pull_clk,drive_pull_data,clk_contention,data_contention,any_contention,ownership,release_latency,illegal_overlap,contention_rows,pending_rx,pending_tx,rx_processed,tx_served,iec_state
1541,contention,0,1,1,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
1541,contention,1,2,1,1,1,1,1,0,0,0,2,-1,0,0,0,0,0,0,0
1541,contention,2,3,1,1,0,1,1,0,1,1,3,-1,0,1,0,0,0,0,0
1541,contention,3,4,1,0,0,1,1,1,1,1,3,-1,0,2,0,0,0,0,0
1541,contention,4,5,1,0,0,1,1,1,1,1,3,-1,0,3,0,0,0,0,0
1541,contention,5,6,1,1,1,1,1,0,0,0,2,-1,0,3,0,0,0,0,0
1541,contention,6,7,1,1,1,1,1,0,0,0,2,-1,0,3,0,0,0,0,0
1541,contention,7,8,1,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,0
1541,contention,8,9,1,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,0
1541,contention,9,10,0,1,1,0,0,0,0,0,0,-1,0,3,0,0,0,0,1
1541,contention,10,11,1,0,1,0,0,0,0,0,1,-1,0,3,0,0,0,0,0
1541,contention,11,12,1,0,0,0,0,0,0,0,1,-1,0,3,0,0,0,0,0
1541,contention,12,13,1,1,0,0,0,0,0,0,1,-1,0,3,1,0,4,0,2
1541,contention,13,14,1,1,0,1,1,0,1,1,3,-1,0,4,0,67,5,0,0
1541,contention,14,15,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541,contention,15,16,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541,contention,16,17,1,1,1,1,1,0,0,0,2,-1,0,4,0,67,5,0,0
1541,contention,17,18,1,0,1,1,1,1,0,1,3,-1,0,5,0,67,5,0,0
1541,contention,18,19,1,0,1,1,1,1,0,1,3,-1,0,6,0,67,5,0,0
1541,contention,19,20,0,1,1,0,0,0,0,0,0,-1,0,6,0,67,5,0,1
1541,contention,20,21,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541,contention,21,22,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541,contention,22,23,1,1,0,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541,contention,23,24,1,1,1,0,0,0,0,0,0,-1,0,6,0,67,5,0,0
1541,contention,24,25,1,0,1,0,0,0,0,0,1,-1,0,6,0,67,5,0,0
1541,contention,25,26,1,0,1,1,1,1,0,1,3,-1,0,7,0,67,5,0,0
1541,contention,26,27,1,1,1,1,1,0,0,0,2,-1,0,7,0,72,5,0,3
1541,contention,27,28,1,0,1,1,1,1,0,1,3,-1,0,8,0,72,5,0,3
1541,contention,28,29,1,1,0,1,1,0,1,1,3,-1,0,9,0,72,5,0,3
1541,contention,29,30,1,1,1,1,1,0,0,0,2,-1,0,9,0,72,5,0,3
1541,contention,30,31,1,0,1,1,1,1,0,1,3,-1,0,10,0,72,5,0,3
1541,contention,31,32,1,1,1,0,0,0,0,0,0,-1,0,10,0,72,5,0,3
1541,contention,32,33,1,1,0,0,0,0,0,0,1,-1,0,10,0,72,5,0,3
1541,contention,33,34,1,0,1,0,0,0,0,0,1,-1,0,10,0,71,5,1,3
1541,contention,34,35,1,1,1,0,0,0,0,0,0,-1,0,10,0,71,5,1,3
1541,contention,35,36,1,1,1,0,1,0,0,0,2,-1,0,10,0,71,5,1,3
1541,contention,36,37,1,0,0,0,1,0,1,1,3,-1,0,11,0,71,5,1,3
1541,contention,37,38,1,1,1,1,1,0,0,0,2,-1,0,11,0,71,5,1,3
1541,contention,38,39,1,1,1,1,1,0,0,0,2,-1,0,11,0,71,5,1,3
1541,contention,39,40,1,0,1,1,1,1,0,1,3,-1,0,12,0,71,5,1,3
1541,contention,40,41,1,1,0,1,1,0,1,1,3,-1,0,13,0,71,5,1,3
1541,contention,41,42,1,1,1,1,1,0,0,0,2,-1,0,13,0,71,5,1,3
1541,contention,42,43,1,0,1,1,1,1,0,1,3,-1,0,14,0,71,5,1,3
1541,contention,43,44,1,1,1,0,1,0,0,0,2,-1,0,14,0,71,5,1,3
1541,contention,44,45,1,1,0,0,1,0,1,1,3,-1,0,15,0,71,5,1,3
1541,contention,45,46,1,0,1,0,1,0,0,0,2,-1,0,15,0,71,5,1,3
1541,contention,46,47,1,1,1,0,1,0,0,0,2,-1,0,15,0,71,5,1,3
1541,contention,47,48,1,1,0,0,1,0,1,1,3,-1,0,16,0,71,5,1,3
1541,contention,48,49,1,1,0,0,1,0,1,1,3,-1,0,17,0,71,5,1,3
1541,contention,49,50,0,1,0,1,1,0,1,1,3,-1,0,18,0,71,5,1,1
1541,contention,50,51,1,1,1,0,0,0,0,0,0,-1,0,18,0,71,5,1,3
1541,contention,51,52,1,1,1,1,1,0,0,0,2,-1,0,18,0,70,5,2,3
1541,contention,52,53,1,0,1,1,1,1,0,1,3,-1,0,19,0,70,5,2,3
1541,contention,53,54,1,0,1,1,1,1,0,1,3,-1,0,20,0,70,5,2,3
1541,contention,54,55,1,1,1,1,1,0,0,0,2,-1,0,20,0,70,5,2,3
1541,contention,55,56,1,1,1,0,1,0,0,0,2,-1,0,20,0,70,5,2,3
