rev,phase,rotation_tick,sector,slot,gcr_symbol,decoded_nibble,symbol_ok,sync_mark,sync_detect_rows,illegal_symbol_rows,sync_lock_latency_max,decode_window,read_window_jitter_max,alloc_count,blocks_free
1541,gcr_decode,1,0,0,10,0,1,1,1,0,0,0,0,0,664
1541,gcr_decode,2,0,1,11,1,1,1,2,0,1,0,0,0,664
1541,gcr_decode,3,0,2,18,2,1,0,2,0,1,1,1,0,664
1541,gcr_decode,4,0,3,19,3,1,0,2,0,1,2,2,1,663
1541,gcr_decode,5,0,4,14,4,1,0,2,0,1,3,3,1,663
1541,gcr_decode,6,0,5,15,5,1,0,2,0,1,4,4,1,663
1541,gcr_decode,7,0,6,25,9,1,0,2,0,1,1,5,1,663
1541,gcr_decode,8,0,7,26,10,1,0,2,0,1,2,6,1,663
1541,gcr_decode,9,1,0,11,1,1,1,3,0,1,0,6,1,663
1541,gcr_decode,10,1,1,18,2,1,1,4,0,8,0,6,1,663
1541,gcr_decode,11,1,2,19,3,1,0,4,0,8,1,6,1,663
1541,gcr_decode,12,1,3,14,4,1,0,4,0,8,2,6,2,662
1541,gcr_decode,13,1,4,15,5,1,0,4,0,8,3,6,2,662
1541,gcr_decode,14,1,5,21,6,1,0,4,0,8,4,6,2,662
1541,gcr_decode,15,1,6,26,10,1,0,4,0,8,1,6,2,662
1541,gcr_decode,16,1,7,27,11,1,0,4,0,8,2,6,2,662
1541,gcr_decode,17,2,0,18,2,1,1,5,0,8,0,6,2,662
1541,gcr_decode,18,2,1,19,3,1,1,6,0,8,0,6,2,662
1541,gcr_decode,19,2,2,14,4,1,0,6,0,8,1,6,2,662
1541,gcr_decode,20,2,3,15,5,1,0,6,0,8,2,6,3,661
1541,gcr_decode,21,2,4,21,6,1,0,6,0,8,3,6,3,661
1541,gcr_decode,22,2,5,22,7,1,0,6,0,8,4,6,3,661
1541,gcr_decode,23,2,6,27,11,1,0,6,0,8,1,6,3,661
1541,gcr_decode,24,2,7,13,12,1,0,6,0,8,2,6,3,661
1541,gcr_decode,25,3,0,19,3,1,1,7,0,8,0,6,3,661
1541,gcr_decode,26,3,1,14,4,1,1,8,0,8,0,6,3,661
1541,gcr_decode,27,3,2,15,5,1,0,8,0,8,1,6,3,661
1541,gcr_decode,28,3,3,21,6,1,0,8,0,8,2,6,4,660
1541,gcr_decode,29,3,4,22,7,1,0,8,0,8,3,6,4,660
1541,gcr_decode,30,3,5,9,8,1,0,8,0,8,4,6,4,660
1541,gcr_decode,31,3,6,13,12,1,0,8,0,8,1,6,4,660
1541,gcr_decode,32,3,7,29,13,1,0,8,0,8,2,6,4,660
1541,gcr_decode,33,4,0,14,4,1,1,9,0,8,0,6,4,660
1541,gcr_decode,34,4,1,15,5,1,1,10,0,8,0,6,4,660
1541,gcr_decode,35,4,2,21,6,1,0,10,0,8,1,6,4,660
1541,gcr_decode,36,4,3,22,7,1,0,10,0,8,2,6,5,659
1541,gcr_decode,37,4,4,9,8,1,0,10,0,8,3,6,5,659
1541,gcr_decode,38,4,5,25,9,1,0,10,0,8,4,6,5,659
1541,gcr_decode,39,4,6,29,13,1,0,10,0,8,1,6,5,659
1541,gcr_decode,40,4,7,30,14,1,0,10,0,8,2,6,5,659
1541,gcr_decode,41,5,0,15,5,1,1,11,0,8,0,6,5,659
1541,gcr_decode,42,5,1,21,6,1,1,12,0,8,0,6,5,659
1541,gcr_decode,43,5,2,22,7,1,0,12,0,8,1,6,5,659
1541,gcr_decode,44,5,3,9,8,1,0,12,0,8,2,6,6,658
1541,gcr_decode,45,5,4,25,9,1,0,12,0,8,3,6,6,658
1541,gcr_decode,46,5,5,26,10,1,0,12,0,8,4,6,6,658
1541,gcr_decode,47,5,6,30,14,1,0,12,0,8,1,6,6,658
1541,gcr_decode,48,5,7,23,15,1,0,12,0,8,2,6,6,658
1541,gcr_decode,49,6,0,21,6,1,1,13,0,8,0,6,6,658
1541,gcr_decode,50,6,1,22,7,1,1,14,0,8,0,6,6,658
1541,gcr_decode,51,6,2,9,8,1,0,14,0,8,1,6,6,658
1541,gcr_decode,52,6,3,25,9,1,0,14,0,8,2,6,7,657
1541,gcr_decode,53,6,4,26,10,1,0,14,0,8,3,6,7,657
1541,gcr_decode,54,6,5,27,11,1,0,14,0,8,4,6,7,657
1541,gcr_decode,55,6,6,23,15,1,0,14,0,8,1,6,7,657
1541,gcr_decode,56,6,7,10,0,1,0,14,0,8,2,6,7,657
1541,gcr_decode,57,7,0,22,7,1,1,15,0,8,0,6,7,657
1541,gcr_decode,58,7,1,9,8,1,1,16,0,8,0,6,7,657
1541,gcr_decode,59,7,2,25,9,1,0,16,0,8,1,6,7,657
1541,gcr_decode,60,7,3,26,10,1,0,16,0,8,2,6,8,656
1541,gcr_decode,61,7,4,27,11,1,0,16,0,8,3,6,8,656
1541,gcr_decode,62,7,5,13,12,1,0,16,0,8,4,6,8,656
1541,gcr_decode,63,7,6,10,0,1,0,16,0,8,1,6,8,656
1541,gcr_decode,64,7,7,11,1,1,0,16,0,8,2,6,8,656
1541,gcr_decode,65,8,0,9,8,1,1,17,0,8,0,6,8,656
1541,gcr_decode,66,8,1,25,9,1,1,18,0,8,0,6,8,656
1541,gcr_decode,67,8,2,26,10,1,0,18,0,8,1,6,8,656
1541,gcr_decode,68,8,3,27,11,1,0,18,0,8,2,6,9,655
1541,gcr_decode,69,8,4,13,12,1,0,18,0,8,3,6,9,655
1541,gcr_decode,70,8,5,29,13,1,0,18,0,8,4,6,9,655
1541,gcr_decode,71,8,6,11,1,1,0,18,0,8,1,6,9,655
1541,gcr_decode,72,8,7,18,2,1,0,18,0,8,2,6,9,655
1541,gcr_decode,73,9,0,25,9,1,1,19,0,8,0,6,9,655
1541,gcr_decode,74,9,1,26,10,1,1,20,0,8,0,6,9,655
1541,gcr_decode,75,9,2,27,11,1,0,20,0,8,1,6,9,655
1541,gcr_decode,76,9,3,13,12,1,0,20,0,8,2,6,10,654
1541,gcr_decode,77,9,4,29,13,1,0,20,0,8,3,6,10,654
1541,gcr_decode,78,9,5,30,14,1,0,20,0,8,4,6,10,654
1541,gcr_decode,79,9,6,18,2,1,0,20,0,8,1,6,10,654
1541,gcr_decode,80,9,7,19,3,1,0,20,0,8,2,6,10,654
1541,gcr_decode,81,10,0,26,10,1,1,21,0,8,0,6,10,654
1541,gcr_decode,82,10,1,27,11,1,1,22,0,8,0,6,10,654
1541,gcr_decode,83,10,2,13,12,1,0,22,0,8,1,6,10,654
1541,gcr_decode,84,10,3,29,13,1,0,22,0,8,2,6,11,653
1541,gcr_decode,85,10,4,30,14,1,0,22,0,8,3,6,11,653
1541,gcr_decode,86,10,5,23,15,1,0,22,0,8,4,6,11,653
1541,gcr_decode,87,10,6,19,3,1,0,22,0,8,1,6,11,653
1541,gcr_decode,88,10,7,14,4,1,0,22,0,8,2,6,11,653
1541,gcr_decode,89,11,0,27,11,1,1,23,0,8,0,6,11,653
1541,gcr_decode,90,11,1,13,12,1,1,24,0,8,0,6,11,653
1541,gcr_decode,91,11,2,29,13,1,0,24,0,8,1,6,11,653
1541,gcr_decode,92,11,3,30,14,1,0,24,0,8,2,6,12,652
1541,gcr_decode,93,11,4,23,15,1,0,24,0,8,3,6,12,652
1541,gcr_decode,94,11,5,10,0,1,0,24,0,8,4,6,12,652
1541,gcr_decode,95,11,6,14,4,1,0,24,0,8,1,6,12,652
1541,gcr_decode,96,11,7,15,5,1,0,24,0,8,2,6,12,652
1541C,gcr_decode,1,0,0,10,0,1,1,1,0,0,0,0,0,664
1541C,gcr_decode,2,0,1,11,1,1,1,2,0,1,0,0,0,664
1541C,gcr_decode,3,0,2,18,2,1,0,2,0,1,1,1,0,664
1541C,gcr_decode,4,0,3,19,3,1,0,2,0,1,2,2,1,663
1541C,gcr_decode,5,0,4,14,4,1,0,2,0,1,3,3,1,663
1541C,gcr_decode,6,0,5,15,5,1,0,2,0,1,4,4,1,663
1541C,gcr_decode,7,0,6,25,9,1,0,2,0,1,1,5,1,663
1541C,gcr_decode,8,0,7,26,10,1,0,2,0,1,2,6,1,663
1541C,gcr_decode,9,1,0,11,1,1,1,3,0,1,0,6,1,663
1541C,gcr_decode,10,1,1,18,2,1,1,4,0,8,0,6,1,663
1541C,gcr_decode,11,1,2,19,3,1,0,4,0,8,1,6,1,663
1541C,gcr_decode,12,1,3,14,4,1,0,4,0,8,2,6,2,662
1541C,gcr_decode,13,1,4,15,5,1,0,4,0,8,3,6,2,662
1541C,gcr_decode,14,1,5,21,6,1,0,4,0,8,4,6,2,662
1541C,gcr_decode,15,1,6,26,10,1,0,4,0,8,1,6,2,662
1541C,gcr_decode,16,1,7,27,11,1,0,4,0,8,2,6,2,662
1541C,gcr_decode,17,2,0,18,2,1,1,5,0,8,0,6,2,662
1541C,gcr_decode,18,2,1,19,3,1,1,6,0,8,0,6,2,662
1541C,gcr_decode,19,2,2,14,4,1,0,6,0,8,1,6,2,662
1541C,gcr_decode,20,2,3,15,5,1,0,6,0,8,2,6,3,661
1541C,gcr_decode,21,2,4,21,6,1,0,6,0,8,3,6,3,661
1541C,gcr_decode,22,2,5,22,7,1,0,6,0,8,4,6,3,661
1541C,gcr_decode,23,2,6,27,11,1,0,6,0,8,1,6,3,661
1541C,gcr_decode,24,2,7,13,12,1,0,6,0,8,2,6,3,661
1541C,gcr_decode,25,3,0,19,3,1,1,7,0,8,0,6,3,661
1541C,gcr_decode,26,3,1,14,4,1,1,8,0,8,0,6,3,661
1541C,gcr_decode,27,3,2,15,5,1,0,8,0,8,1,6,3,661
1541C,gcr_decode,28,3,3,21,6,1,0,8,0,8,2,6,4,660
1541C,gcr_decode,29,3,4,22,7,1,0,8,0,8,3,6,4,660
1541C,gcr_decode,30,3,5,9,8,1,0,8,0,8,4,6,4,660
1541C,gcr_decode,31,3,6,13,12,1,0,8,0,8,1,6,4,660
1541C,gcr_decode,32,3,7,29,13,1,0,8,0,8,2,6,4,660
1541C,gcr_decode,33,4,0,14,4,1,1,9,0,8,0,6,4,660
1541C,gcr_decode,34,4,1,15,5,1,1,10,0,8,0,6,4,660
1541C,gcr_decode,35,4,2,21,6,1,0,10,0,8,1,6,4,660
1541C,gcr_decode,36,4,3,22,7,1,0,10,0,8,2,6,5,659
1541C,gcr_decode,37,4,4,9,8,1,0,10,0,8,3,6,5,659
1541C,gcr_decode,38,4,5,25,9,1,0,10,0,8,4,6,5,659
1541C,gcr_decode,39,4,6,29,13,1,0,10,0,8,1,6,5,659
1541C,gcr_decode,40,4,7,30,14,1,0,10,0,8,2,6,5,659
1541C,gcr_decode,41,5,0,15,5,1,1,11,0,8,0,6,5,659
1541C,gcr_decode,42,5,1,21,6,1,1,12,0,8,0,6,5,659
1541C,gcr_decode,43,5,2,22,7,1,0,12,0,8,1,6,5,659
1541C,gcr_decode,44,5,3,9,8,1,0,12,0,8,2,6,6,658
1541C,gcr_decode,45,5,4,25,9,1,0,12,0,8,3,6,6,658
1541C,gcr_decode,46,5,5,26,10,1,0,12,0,8,4,6,6,658
1541C,gcr_decode,47,5,6,30,14,1,0,12,0,8,1,6,6,658
1541C,gcr_decode,48,5,7,23,15,1,0,12,0,8,2,6,6,658
1541C,gcr_decode,49,6,0,21,6,1,1,13,0,8,0,6,6,658
1541C,gcr_decode,50,6,1,22,7,1,1,14,0,8,0,6,6,658
1541C,gcr_decode,51,6,2,9,8,1,0,14,0,8,1,6,6,658
1541C,gcr_decode,52,6,3,25,9,1,0,14,0,8,2,6,7,657
1541C,gcr_decode,53,6,4,26,10,1,0,14,0,8,3,6,7,657
1541C,gcr_decode,54,6,5,27,11,1,0,14,0,8,4,6,7,657
1541C,gcr_decode,55,6,6,23,15,1,0,14,0,8,1,6,7,657
1541C,gcr_decode,56,6,7,10,0,1,0,14,0,8,2,6,7,657
1541C,gcr_decode,57,7,0,22,7,1,1,15,0,8,0,6,7,657
