rev,phase,rotation_tick,track,sector,pos,sync_mark,gap_class,expected_gap_class,region,header_data_boundary,expected_boundary,track_sync_density_rows,gap_class_mismatch_rows,header_data_boundary_errors,alloc_count,blocks_free
1541,track_layout,2,17,0,0,1,0,0,1,0,0,1,0,0,0,664
1541,track_layout,3,17,0,1,1,0,0,1,0,0,2,0,0,0,664
1541,track_layout,4,17,0,2,0,1,1,1,0,0,2,0,0,0,664
1541,track_layout,6,17,0,3,0,1,1,1,0,0,2,0,0,1,663
1541,track_layout,7,17,0,4,0,1,1,2,1,1,2,0,0,1,663
1541,track_layout,8,17,0,5,0,1,1,2,0,0,2,0,0,1,663
1541,track_layout,10,17,0,6,0,2,2,3,0,0,2,0,0,1,663
1541,track_layout,11,17,0,7,0,2,2,3,0,0,2,0,0,1,663
1541,track_layout,13,17,1,0,1,0,0,1,0,0,3,0,0,1,663
1541,track_layout,14,17,1,1,1,0,0,1,0,0,4,0,0,1,663
1541,track_layout,15,17,1,2,0,1,1,1,0,0,4,0,0,1,663
1541,track_layout,17,17,1,3,0,1,1,1,0,0,4,0,0,2,662
1541,track_layout,18,17,1,4,0,1,1,2,1,1,4,0,0,2,662
1541,track_layout,19,17,1,5,0,1,1,2,0,0,4,0,0,2,662
1541,track_layout,21,17,1,6,0,2,2,3,0,0,4,0,0,2,662
1541,track_layout,22,17,1,7,0,2,2,3,0,0,4,0,0,2,662
1541,track_layout,24,17,2,0,1,0,0,1,0,0,5,0,0,2,662
1541,track_layout,25,17,2,1,1,0,0,1,0,0,6,0,0,2,662
1541,track_layout,26,17,2,2,0,1,1,1,0,0,6,0,0,2,662
1541,track_layout,28,17,2,3,0,1,1,1,0,0,6,0,0,3,661
1541,track_layout,29,17,2,4,0,1,1,2,1,1,6,0,0,3,661
1541,track_layout,30,17,2,5,0,1,1,2,0,0,6,0,0,3,661
1541,track_layout,32,17,2,6,0,2,2,3,0,0,6,0,0,3,661
1541,track_layout,33,17,2,7,0,2,2,3,0,0,6,0,0,3,661
1541,track_layout,35,17,3,0,1,0,0,1,0,0,7,0,0,3,661
1541,track_layout,36,17,3,1,1,0,0,1,0,0,8,0,0,3,661
1541,track_layout,37,17,3,2,0,1,1,1,0,0,8,0,0,3,661
1541,track_layout,39,17,3,3,0,1,1,1,0,0,8,0,0,4,660
1541,track_layout,40,17,3,4,0,1,1,2,1,1,8,0,0,4,660
1541,track_layout,41,17,3,5,0,1,1,2,0,0,8,0,0,4,660
1541,track_layout,43,17,3,6,0,2,2,3,0,0,8,0,0,4,660
1541,track_layout,44,17,3,7,0,2,2,3,0,0,8,0,0,4,660
1541,track_layout,46,17,4,0,1,0,0,1,0,0,9,0,0,4,660
1541,track_layout,47,17,4,1,1,0,0,1,0,0,10,0,0,4,660
1541,track_layout,48,17,4,2,0,1,1,1,0,0,10,0,0,4,660
1541,track_layout,50,17,4,3,0,1,1,1,0,0,10,0,0,5,659
1541,track_layout,51,17,4,4,0,1,1,2,1,1,10,0,0,5,659
1541,track_layout,52,17,4,5,0,1,1,2,0,0,10,0,0,5,659
1541,track_layout,54,17,4,6,0,2,2,3,0,0,10,0,0,5,659
1541,track_layout,55,17,4,7,0,2,2,3,0,0,10,0,0,5,659
1541,track_layout,57,17,5,0,1,0,0,1,0,0,11,0,0,5,659
1541,track_layout,58,17,5,1,1,0,0,1,0,0,12,0,0,5,659
1541,track_layout,59,17,5,2,0,1,1,1,0,0,12,0,0,5,659
1541,track_layout,61,17,5,3,0,1,1,1,0,0,12,0,0,6,658
1541,track_layout,62,17,5,4,0,1,1,2,1,1,12,0,0,6,658
1541,track_layout,63,17,5,5,0,1,1,2,0,0,12,0,0,6,658
1541,track_layout,65,17,5,6,0,2,2,3,0,0,12,0,0,6,658
1541,track_layout,66,17,5,7,0,2,2,3,0,0,12,0,0,6,658
1541,track_layout,68,17,6,0,1,0,0,1,0,0,13,0,0,6,658
1541,track_layout,69,17,6,1,1,0,0,1,0,0,14,0,0,6,658
1541,track_layout,70,17,6,2,0,1,1,1,0,0,14,0,0,6,658
1541,track_layout,72,17,6,3,0,1,1,1,0,0,14,0,0,7,657
1541,track_layout,73,17,6,4,0,1,1,2,1,1,14,0,0,7,657
1541,track_layout,74,17,6,5,0,1,1,2,0,0,14,0,0,7,657
1541,track_layout,76,17,6,6,0,2,2,3,0,0,14,0,0,7,657
1541,track_layout,77,17,6,7,0,2,2,3,0,0,14,0,0,7,657
