rev,phase,rotation_tick,track,track_zone,sector,sectors_on_track,sync_scan_ok,header_decode_ok,data_decode_ok,checksum_crc_ok,status_ok,status_code,expected_status_code,chain_break,w70_gcr_header_decode_rows,w70_gcr_data_decode_rows,w70_gcr_chain_break_rows,sync_marks,header_id,data_payload_xor,checksum_byte,crc_byte
1541,gcr_chain,9,17,0,0,21,1,1,1,1,1,0,0,0,1,1,0,3,2,136,155,158
1541,gcr_chain,17,17,0,1,21,1,1,1,1,1,0,0,0,2,2,0,2,17,128,129,131
1541,gcr_chain,25,17,0,2,21,1,1,1,1,1,0,0,0,3,3,0,3,4,0,23,26
1541,gcr_chain,33,17,0,3,21,1,1,1,1,1,0,0,0,4,4,0,2,63,8,37,39
1541,gcr_chain,42,17,0,4,21,1,1,1,1,1,0,0,0,5,5,0,3,54,136,171,174
1541,gcr_chain,50,17,0,5,21,1,1,1,1,1,0,0,0,6,6,0,2,53,128,161,163
1541,gcr_chain,58,17,0,6,21,1,1,1,1,1,0,0,0,7,7,0,3,0,0,23,26
1541,gcr_chain,66,17,0,7,21,1,1,1,1,1,0,0,0,8,8,0,2,123,8,101,103
1541,gcr_chain,75,17,0,8,21,1,1,1,1,1,0,0,0,9,9,0,3,122,136,235,238
1541,gcr_chain,83,17,0,9,21,1,1,1,1,1,0,0,0,10,10,0,2,105,128,241,243
1541,gcr_chain,91,17,0,10,21,1,1,1,1,1,0,0,0,11,11,0,3,124,0,103,106
1541,gcr_chain,99,17,0,11,21,1,1,1,1,1,0,0,0,12,12,0,2,71,8,85,87
1541,gcr_chain,108,17,0,12,21,1,1,1,1,1,0,0,0,13,13,0,3,78,136,219,222
1541,gcr_chain,116,17,0,13,21,1,1,1,1,1,0,0,0,14,14,0,2,77,128,209,211
1541,gcr_chain,124,17,0,14,21,1,1,1,1,1,0,0,0,15,15,0,3,120,0,103,106
1541,gcr_chain,132,17,0,15,21,1,1,1,1,1,0,0,0,16,16,0,2,3,8,21,23
1541,gcr_chain,141,17,0,16,21,1,1,1,1,1,0,0,0,17,17,0,3,2,136,139,142
1541,gcr_chain,149,17,0,17,21,1,1,1,1,1,0,0,0,18,18,0,2,17,128,145,147
1541,gcr_chain,157,17,0,18,21,1,1,1,1,1,0,0,0,19,19,0,3,4,0,7,10
1541,gcr_chain,165,17,0,19,21,1,1,1,1,1,0,0,0,20,20,0,2,63,8,53,55
1541,gcr_chain,174,17,0,20,21,1,1,1,1,1,0,0,0,21,21,0,3,54,136,187,190
1541,gcr_chain,183,18,0,0,21,1,1,1,1,1,0,0,0,22,22,0,2,17,128,131,133
1541,gcr_chain,191,18,0,1,21,1,1,1,1,1,0,0,0,23,23,0,3,4,0,23,26
1541,gcr_chain,199,18,0,2,21,1,1,1,1,1,0,0,0,24,24,0,2,63,8,39,41
1541,gcr_chain,207,18,0,3,21,1,1,1,1,1,0,0,0,25,25,0,3,54,136,175,178
1541,gcr_chain,216,18,0,4,21,1,1,1,1,1,0,0,0,26,26,0,2,53,128,163,165
1541,gcr_chain,224,18,0,5,21,1,1,1,1,1,0,0,0,27,27,0,3,0,0,23,26
1541,gcr_chain,232,18,0,6,21,1,1,1,1,1,0,0,0,28,28,0,2,123,8,103,105
1541,gcr_chain,240,18,0,7,21,1,1,1,1,1,0,0,0,29,29,0,3,122,136,231,234
1541,gcr_chain,249,18,0,8,21,1,1,1,1,1,0,0,0,30,30,0,2,105,128,243,245
1541,gcr_chain,257,18,0,9,21,1,1,1,1,1,0,0,0,31,31,0,3,124,0,103,106
1541,gcr_chain,265,18,0,10,21,1,1,1,1,1,0,0,0,32,32,0,2,71,8,87,89
1541,gcr_chain,273,18,0,11,21,1,1,1,1,1,0,0,0,33,33,0,3,78,136,223,226
1541,gcr_chain,282,18,0,12,21,1,1,1,1,1,0,0,0,34,34,0,2,77,128,211,213
1541,gcr_chain,290,18,0,13,21,1,1,1,1,1,0,0,0,35,35,0,3,120,0,103,106
1541,gcr_chain,298,18,0,14,21,1,1,1,1,1,0,0,0,36,36,0,2,3,8,23,25
1541,gcr_chain,306,18,0,15,21,1,1,1,1,1,0,0,0,37,37,0,3,2,136,151,154
1541,gcr_chain,315,18,0,16,21,1,1,1,1,1,0,0,0,38,38,0,2,17,128,147,149
1541,gcr_chain,323,18,0,17,21,1,1,1,1,1,0,0,0,39,39,0,3,4,0,7,10
1541,gcr_chain,331,18,0,18,21,1,1,1,1,1,0,0,0,40,40,0,2,63,8,55,57
1541,gcr_chain,339,18,0,19,21,1,1,1,1,1,0,0,0,41,41,0,3,54,136,191,194
1541,gcr_chain,348,18,0,20,21,1,1,1,1,1,0,0,0,42,42,0,2,53,128,179,181
1541,gcr_chain,357,19,0,0,21,1,1,1,1,1,0,0,0,43,43,0,3,4,0,23,26
1541,gcr_chain,365,19,0,1,21,1,1,1,1,1,0,0,0,44,44,0,2,63,8,37,39
1541,gcr_chain,373,19,0,2,21,1,1,1,1,1,0,0,0,45,45,0,3,54,136,175,178
1541,gcr_chain,381,19,0,3,21,1,1,1,1,1,0,0,0,46,46,0,2,53,128,165,167
1541,gcr_chain,390,19,0,4,21,1,1,1,1,1,0,0,0,47,47,0,3,0,0,23,26
1541,gcr_chain,398,19,0,5,21,1,1,1,1,1,0,0,0,48,48,0,2,123,8,101,103
1541,gcr_chain,406,19,0,6,21,1,1,1,1,1,0,0,0,49,49,0,3,122,136,231,234
1541,gcr_chain,414,19,0,7,21,1,1,1,1,1,0,0,0,50,50,0,2,105,128,253,255
1541,gcr_chain,423,19,0,8,21,1,1,1,1,1,0,0,0,51,51,0,3,124,0,103,106
1541,gcr_chain,431,19,0,9,21,1,1,1,1,1,0,0,0,52,52,0,2,71,8,85,87
1541,gcr_chain,439,19,0,10,21,1,1,1,1,1,0,0,0,53,53,0,3,78,136,223,226
1541,gcr_chain,447,19,0,11,21,1,1,1,1,1,0,0,0,54,54,0,2,77,128,213,215
1541,gcr_chain,456,19,0,12,21,1,1,1,1,1,0,0,0,55,55,0,3,120,0,103,106
1541,gcr_chain,464,19,0,13,21,1,1,1,1,1,0,0,0,56,56,0,2,3,8,21,23
1541,gcr_chain,472,19,0,14,21,1,1,1,1,1,0,0,0,57,57,0,3,2,136,151,154
1541,gcr_chain,480,19,0,15,21,1,1,1,1,1,0,0,0,58,58,0,2,17,128,141,143
1541,gcr_chain,489,19,0,16,21,1,1,1,1,1,0,0,0,59,59,0,3,4,0,7,10
1541,gcr_chain,497,19,0,17,21,1,1,1,1,1,0,0,0,60,60,0,2,63,8,53,55
1541,gcr_chain,505,19,0,18,21,1,1,1,1,1,0,0,0,61,61,0,3,54,136,191,194
1541,gcr_chain,513,19,0,19,21,1,1,1,1,1,0,0,0,62,62,0,2,53,128,181,183
1541,gcr_chain,522,19,0,20,21,1,1,1,1,1,0,0,0,63,63,0,3,0,0,7,10
1541,gcr_chain,532,20,1,0,19,1,1,1,1,1,0,0,0,64,64,0,2,63,8,35,50
1541,gcr_chain,541,20,1,1,19,1,1,1,1,1,0,0,0,65,65,0,3,54,136,171,187
1541,gcr_chain,550,20,1,2,19,1,1,1,1,1,0,0,0,66,66,0,2,53,128,163,178
1541,gcr_chain,559,20,1,3,19,1,1,1,1,1,0,0,0,67,67,0,3,0,0,23,39
1541,gcr_chain,569,20,1,4,19,1,1,1,1,1,0,0,0,68,68,0,2,123,8,99,114
1541,gcr_chain,578,20,1,5,19,1,1,1,1,1,0,0,0,69,69,0,3,122,136,227,243
1541,gcr_chain,587,20,1,6,19,1,1,1,1,1,0,0,0,70,70,0,2,105,128,251,10
1541,gcr_chain,596,20,1,7,19,1,1,1,1,1,0,0,0,71,71,0,3,124,0,111,127
1541,gcr_chain,606,20,1,8,19,1,1,1,1,1,0,0,0,72,72,0,2,71,8,83,98
1541,gcr_chain,615,20,1,9,19,1,1,1,1,1,0,0,0,73,73,0,3,78,136,219,235
1541,gcr_chain,624,20,1,10,19,1,1,1,1,1,0,0,0,74,74,0,2,77,128,211,226
1541,gcr_chain,633,20,1,11,19,1,1,1,1,1,0,0,0,75,75,0,3,120,0,103,119
1541,gcr_chain,643,20,1,12,19,1,1,1,1,1,0,0,0,76,76,0,2,3,8,19,34
1541,gcr_chain,652,20,1,13,19,1,1,1,1,1,0,0,0,77,77,0,3,2,136,147,163
1541,gcr_chain,661,20,1,14,19,1,1,1,1,1,0,0,0,78,78,0,2,17,128,139,154
1541,gcr_chain,670,20,1,15,19,1,1,1,1,1,0,0,0,79,79,0,3,4,0,31,47
1541,gcr_chain,680,20,1,16,19,1,1,1,1,1,0,0,0,80,80,0,2,63,8,51,66
1541,gcr_chain,689,20,1,17,19,1,1,1,1,1,0,0,0,81,81,0,3,54,136,187,203
1541,gcr_chain,698,20,1,18,19,1,1,1,1,1,0,0,0,82,82,0,2,53,128,179,194
1541,gcr_chain,709,21,2,0,18,1,1,1,1,1,0,0,0,83,83,0,3,54,136,171,200
1541,gcr_chain,719,21,2,1,18,1,1,1,1,1,0,0,0,84,84,0,2,53,128,161,189
1541,gcr_chain,729,21,2,2,18,1,1,1,1,1,0,0,0,85,85,0,3,0,0,23,52
1541,gcr_chain,739,21,2,3,18,1,1,1,1,1,0,0,0,86,86,0,2,123,8,101,129
1541,gcr_chain,750,21,2,4,18,1,1,1,1,1,0,0,0,87,87,0,3,122,136,227,0
1541,gcr_chain,760,21,2,5,18,1,1,1,1,1,0,0,0,88,88,0,2,105,128,249,21
1541,gcr_chain,770,21,2,6,18,1,1,1,1,1,0,0,0,89,89,0,3,124,0,111,140
1541,gcr_chain,780,21,2,7,18,1,1,1,1,1,0,0,0,90,90,0,2,71,8,93,121
1541,gcr_chain,791,21,2,8,18,1,1,1,1,1,0,0,0,91,91,0,3,78,136,219,248
1541,gcr_chain,801,21,2,9,18,1,1,1,1,1,0,0,0,92,92,0,2,77,128,209,237
1541,gcr_chain,811,21,2,10,18,1,1,1,1,1,0,0,0,93,93,0,3,120,0,103,132
1541,gcr_chain,821,21,2,11,18,1,1,1,1,1,0,0,0,94,94,0,2,3,8,21,49
1541,gcr_chain,832,21,2,12,18,1,1,1,1,1,0,0,0,95,95,0,3,2,136,147,176
