rev,phase,rotation_tick,track,sector,write_burst,rotation_drift,checksum_seed,write_commit_ok,read_verify_ok,write_verify_fail,retry_depth,w71_raw_roundtrip_ok_rows,w71_write_verify_fail_rows,w71_postwrite_retry_max
1541,write_roundtrip,16,17,0,5,2,30,1,1,0,1,1,0,1
1541,write_roundtrip,31,17,3,4,2,8,1,1,0,1,2,0,1
1541,write_roundtrip,49,17,6,7,2,46,1,1,0,1,3,0,1
1541,write_roundtrip,66,17,9,6,2,60,1,1,0,1,4,0,1
1541,write_roundtrip,82,17,12,5,2,74,1,1,0,1,5,0,1
1541,write_roundtrip,97,17,15,4,2,116,1,1,0,1,6,0,1
1541,write_roundtrip,115,17,18,7,2,122,1,1,0,1,7,0,1
1541,write_roundtrip,130,18,0,6,0,0,1,1,0,0,8,0,1
1541,write_roundtrip,144,18,3,5,0,8,1,1,0,0,9,0,1
1541,write_roundtrip,157,18,6,4,0,52,1,1,0,0,10,0,1
1541,write_roundtrip,173,18,9,7,0,56,1,1,0,0,11,0,1
1541,write_roundtrip,188,18,12,6,0,84,1,1,0,0,12,0,1
1541,write_roundtrip,202,18,15,5,0,116,1,1,0,0,13,0,1
1541,write_roundtrip,215,18,18,4,0,96,1,1,0,0,14,0,1
1541,write_roundtrip,232,19,0,7,1,6,1,1,0,1,15,0,1
1541,write_roundtrip,248,19,3,6,1,20,1,1,0,1,16,0,1
1541,write_roundtrip,263,19,6,5,1,54,1,1,0,1,17,0,1
1541,write_roundtrip,277,19,9,4,1,32,1,1,0,1,18,0,1
1541,write_roundtrip,294,19,12,7,1,82,1,1,0,1,19,0,1
1541,write_roundtrip,310,19,15,6,1,104,1,1,0,1,20,0,1
1541,write_roundtrip,325,19,18,5,1,98,1,1,0,1,21,0,1
1541,write_roundtrip,340,20,0,4,2,24,1,1,0,1,22,0,1
1541,write_roundtrip,358,20,3,7,2,20,1,1,0,1,23,0,1
1541,write_roundtrip,375,20,6,6,2,44,1,1,0,1,24,0,1
1541,write_roundtrip,391,20,9,5,2,36,1,1,0,1,25,0,1
1541,write_roundtrip,406,20,12,4,2,76,1,1,0,1,26,0,1
1541,write_roundtrip,424,20,15,7,2,104,1,1,0,1,27,0,1
1541C,write_roundtrip,16,17,0,5,2,30,1,1,0,1,1,0,1
1541C,write_roundtrip,31,17,3,4,2,8,1,1,0,1,2,0,1
1541C,write_roundtrip,49,17,6,7,2,46,1,1,0,1,3,0,1
1541C,write_roundtrip,66,17,9,6,2,60,1,1,0,1,4,0,1
1541C,write_roundtrip,82,17,12,5,2,74,1,1,0,1,5,0,1
1541C,write_roundtrip,97,17,15,4,2,116,1,1,0,1,6,0,1
1541C,write_roundtrip,115,17,18,7,2,122,1,1,0,1,7,0,1
1541C,write_roundtrip,130,18,0,6,0,0,1,1,0,0,8,0,1
1541C,write_roundtrip,144,18,3,5,0,8,1,1,0,0,9,0,1
1541C,write_roundtrip,157,18,6,4,0,52,1,1,0,0,10,0,1
1541C,write_roundtrip,173,18,9,7,0,56,1,1,0,0,11,0,1
1541C,write_roundtrip,188,18,12,6,0,84,1,1,0,0,12,0,1
1541C,write_roundtrip,202,18,15,5,0,116,1,1,0,0,13,0,1
1541C,write_roundtrip,215,18,18,4,0,96,1,1,0,0,14,0,1
1541C,write_roundtrip,232,19,0,7,1,6,1,1,0,1,15,0,1
1541C,write_roundtrip,248,19,3,6,1,20,1,1,0,1,16,0,1
1541C,write_roundtrip,263,19,6,5,1,54,1,1,0,1,17,0,1
1541C,write_roundtrip,277,19,9,4,1,32,1,1,0,1,18,0,1
1541C,write_roundtrip,294,19,12,7,1,82,1,1,0,1,19,0,1
1541C,write_roundtrip,310,19,15,6,1,104,1,1,0,1,20,0,1
1541C,write_roundtrip,325,19,18,5,1,98,1,1,0,1,21,0,1
1541C,write_roundtrip,340,20,0,4,2,24,1,1,0,1,22,0,1
1541C,write_roundtrip,358,20,3,7,2,20,1,1,0,1,23,0,1
1541C,write_roundtrip,375,20,6,6,2,44,1,1,0,1,24,0,1
1541C,write_roundtrip,391,20,9,5,2,36,1,1,0,1,25,0,1
1541C,write_roundtrip,406,20,12,4,2,76,1,1,0,1,26,0,1
1541C,write_roundtrip,424,20,15,7,2,104,1,1,0,1,27,0,1
1541II,write_roundtrip,16,17,0,5,2,30,1,1,0,1,1,0,1
1541II,write_roundtrip,31,17,3,4,2,8,1,1,0,1,2,0,1
1541II,write_roundtrip,49,17,6,7,2,46,1,1,0,1,3,0,1
1541II,write_roundtrip,66,17,9,6,2,60,1,1,0,1,4,0,1
1541II,write_roundtrip,82,17,12,5,2,74,1,1,0,1,5,0,1
1541II,write_roundtrip,97,17,15,4,2,116,1,1,0,1,6,0,1
1541II,write_roundtrip,115,17,18,7,2,122,1,1,0,1,7,0,1
1541II,write_roundtrip,130,18,0,6,0,0,1,1,0,0,8,0,1
