rev,phase,rotation_tick,zone,track_band,sample,base_timing_tick,jitter,zone_timing_tick,zone_timing_min,zone_timing_max,zone_timing_span,bitslip_event,weakbit_observed,w72_zone_timing_span_max,w72_bitslip_events_rows,w72_weakbit_observed_rows
1541,physical,13,0,17,0,13,-2,11,11,11,0,1,1,0,1,1
1541,physical,27,0,17,1,13,1,14,11,14,3,0,0,3,1,1
1541,physical,39,0,17,2,13,-1,12,11,14,3,0,0,3,1,1
1541,physical,54,0,17,3,13,2,15,11,15,4,0,0,4,1,1
1541,physical,67,0,17,4,13,0,13,11,15,4,0,0,4,1,1
1541,physical,78,0,17,5,13,-2,11,11,15,4,0,0,4,1,1
1541,physical,92,0,17,6,13,1,14,11,15,4,0,0,4,1,1
1541,physical,104,0,17,7,13,-1,12,11,15,4,0,0,4,1,1
1541,physical,119,0,17,8,13,2,15,11,15,4,0,0,4,1,1
1541,physical,132,0,17,9,13,0,13,11,15,4,0,0,4,1,1
1541,physical,143,0,17,10,13,-2,11,11,15,4,0,0,4,1,1
1541,physical,159,0,17,11,13,1,14,11,15,4,1,0,4,2,1
1541,physical,172,1,24,0,14,-1,13,13,13,0,0,0,4,2,1
1541,physical,188,1,24,1,14,2,16,13,16,3,0,0,4,2,1
1541,physical,202,1,24,2,14,0,14,13,16,3,0,0,4,2,1
1541,physical,214,1,24,3,14,-2,12,12,16,4,0,0,4,2,1
1541,physical,229,1,24,4,14,1,15,12,16,4,0,0,4,2,1
1541,physical,242,1,24,5,14,-1,13,12,16,4,0,0,4,2,1
1541,physical,258,1,24,6,14,2,16,12,16,4,0,1,4,2,2
1541,physical,272,1,24,7,14,0,14,12,16,4,0,0,4,2,2
1541,physical,284,1,24,8,14,-2,12,12,16,4,0,0,4,2,2
1541,physical,299,1,24,9,14,1,15,12,16,4,0,0,4,2,2
1541,physical,314,1,24,10,14,-1,13,12,16,4,1,0,4,3,2
1541,physical,330,1,24,11,14,2,16,12,16,4,0,0,4,3,2
1541,physical,345,2,31,0,15,0,15,15,15,0,0,0,4,3,2
1541,physical,358,2,31,1,15,-2,13,13,15,2,0,0,4,3,2
1541,physical,374,2,31,2,15,1,16,13,16,3,0,0,4,3,2
1541,physical,388,2,31,3,15,-1,14,13,16,3,0,0,4,3,2
1541,physical,405,2,31,4,15,2,17,13,17,4,0,0,4,3,2
1541,physical,420,2,31,5,15,0,15,13,17,4,0,0,4,3,2
1541,physical,433,2,31,6,15,-2,13,13,17,4,0,0,4,3,2
1541,physical,449,2,31,7,15,1,16,13,17,4,0,0,4,3,2
1541,physical,463,2,31,8,15,-1,14,13,17,4,0,0,4,3,2
1541,physical,482,2,31,9,15,2,17,13,17,4,1,0,4,4,2
1541,physical,497,2,31,10,15,0,15,13,17,4,0,0,4,4,2
1541,physical,510,2,31,11,15,-2,13,13,17,4,0,0,4,4,2
1541,physical,527,3,36,0,16,1,17,17,17,0,0,0,4,4,2
1541,physical,542,3,36,1,16,-1,15,15,17,2,0,0,4,4,2
1541,physical,560,3,36,2,16,2,18,15,18,3,0,0,4,4,2
1541,physical,576,3,36,3,16,0,16,15,18,3,0,0,4,4,2
1541,physical,590,3,36,4,16,-2,14,14,18,4,0,0,4,4,2
1541,physical,607,3,36,5,16,1,17,14,18,4,0,1,4,4,3
1541,physical,622,3,36,6,16,-1,15,14,18,4,0,0,4,4,3
1541,physical,640,3,36,7,16,2,18,14,18,4,0,0,4,4,3
1541,physical,658,3,36,8,16,0,16,14,18,4,1,0,4,5,3
1541,physical,672,3,36,9,16,-2,14,14,18,4,0,0,4,5,3
1541,physical,689,3,36,10,16,1,17,14,18,4,0,0,4,5,3
1541,physical,704,3,36,11,16,-1,15,14,18,4,0,0,4,5,3
1541C,physical,12,0,17,0,13,-1,12,12,12,0,0,0,0,0,0
1541C,physical,27,0,17,1,13,2,15,12,15,3,0,0,3,0,0
