rev,phase,rotation_tick,image_format,track,sync_present,gap_present,weak_present,custom_track,parity_score,parity_ok,target_subset,lossy_transform,w74_g64_feature_parity_rows,w74_nib_parity_rows,w74_image_lossy_transform_rows
1541,image_parity,15,g64,17,1,1,1,1,4,1,1,0,1,0,0
1541,image_parity,28,g64,20,1,1,0,1,3,1,1,0,2,0,0
1541,image_parity,41,g64,24,1,0,1,1,3,1,0,0,3,0,0
1541,image_parity,55,nib,17,0,1,1,1,3,1,1,0,3,1,0
1541,image_parity,68,nib,21,0,1,0,1,2,1,1,0,3,2,0
1541,image_parity,81,nib,25,1,0,0,1,2,1,0,0,3,3,0
1541C,image_parity,16,g64,17,1,1,1,1,4,1,1,0,1,0,0
1541C,image_parity,30,g64,20,1,1,0,1,3,1,1,0,2,0,0
1541C,image_parity,44,g64,24,1,0,1,1,3,1,0,0,3,0,0
1541C,image_parity,59,nib,17,0,1,1,1,3,1,1,0,3,1,0
1541C,image_parity,73,nib,21,0,1,0,1,2,1,1,0,3,2,0
1541C,image_parity,87,nib,25,1,0,0,1,2,1,0,0,3,3,0
1541II,image_parity,17,g64,17,1,1,1,1,4,1,1,0,1,0,0
1541II,image_parity,32,g64,20,1,1,0,1,3,1,1,0,2,0,0
1541II,image_parity,47,g64,24,1,0,1,1,3,1,0,0,3,0,0
1541II,image_parity,63,nib,17,0,1,1,1,3,1,1,0,3,1,0
1541II,image_parity,78,nib,21,0,1,0,1,2,1,1,0,3,2,0
1541II,image_parity,93,nib,25,1,0,0,1,2,1,0,0,3,3,0
