rev,phase,rotation_tick,profile,loader,pass,timing_regression,host_fallback,corpus_passed,corpus_total,pass_rate,loader_timing_regressions,host_fallback_rows,w75_real_corpus_pass_rate,w75_loader_timing_regressions,w75_host_fallback_rows
1541,compat_signoff,14,strict,kernal_load,1,0,0,1,1,100,0,0,100,0,0
1541,compat_signoff,29,strict,turbo_disk,1,0,0,2,2,100,0,0,100,0,0
1541,compat_signoff,45,strict,fastload_v1,1,0,0,3,3,100,0,0,100,0,0
1541,compat_signoff,62,strict,fastload_v2,1,0,0,4,4,100,0,0,100,0,0
1541,compat_signoff,80,strict,custom_burst,1,0,0,5,5,100,0,0,100,0,0
1541,compat_signoff,94,strict,track_loader,1,0,0,6,6,100,0,0,100,0,0
1541,compat_signoff,109,strict,multi_stage,1,0,0,7,7,100,0,0,100,0,0
1541,compat_signoff,125,strict,irq_streamer,1,0,0,8,8,100,0,0,100,0,0
1541,compat_signoff,142,full,kernal_load,1,0,0,9,9,100,0,0,100,0,0
1541,compat_signoff,160,full,turbo_disk,1,0,0,10,10,100,0,0,100,0,0
1541,compat_signoff,174,full,fastload_v1,1,0,0,11,11,100,0,0,100,0,0
1541,compat_signoff,189,full,fastload_v2,1,0,0,12,12,100,0,0,100,0,0
1541,compat_signoff,205,full,custom_burst,1,0,0,13,13,100,0,0,100,0,0
1541,compat_signoff,222,full,track_loader,1,0,0,14,14,100,0,0,100,0,0
1541,compat_signoff,240,full,multi_stage,1,0,0,15,15,100,0,0,100,0,0
1541,compat_signoff,254,full,irq_streamer,1,0,0,16,16,100,0,0,100,0,0
1541,compat_signoff,269,fast,kernal_load,1,0,0,17,17,100,0,0,100,0,0
1541,compat_signoff,285,fast,turbo_disk,1,0,0,18,18,100,0,0,100,0,0
1541,compat_signoff,302,fast,fastload_v1,1,0,0,19,19,100,0,0,100,0,0
1541,compat_signoff,320,fast,fastload_v2,1,0,0,20,20,100,0,0,100,0,0
1541,compat_signoff,334,fast,custom_burst,1,0,0,21,21,100,0,0,100,0,0
1541,compat_signoff,349,fast,track_loader,1,0,0,22,22,100,0,0,100,0,0
1541,compat_signoff,365,fast,multi_stage,1,0,0,23,23,100,0,0,100,0,0
1541,compat_signoff,382,fast,irq_streamer,1,0,0,24,24,100,0,0,100,0,0
1541C,compat_signoff,15,strict,kernal_load,1,0,0,1,1,100,0,0,100,0,0
1541C,compat_signoff,31,strict,turbo_disk,1,0,0,2,2,100,0,0,100,0,0
1541C,compat_signoff,48,strict,fastload_v1,1,0,0,3,3,100,0,0,100,0,0
1541C,compat_signoff,66,strict,fastload_v2,1,0,0,4,4,100,0,0,100,0,0
1541C,compat_signoff,85,strict,custom_burst,1,0,0,5,5,100,0,0,100,0,0
1541C,compat_signoff,100,strict,track_loader,1,0,0,6,6,100,0,0,100,0,0
1541C,compat_signoff,116,strict,multi_stage,1,0,0,7,7,100,0,0,100,0,0
1541C,compat_signoff,133,strict,irq_streamer,1,0,0,8,8,100,0,0,100,0,0
1541C,compat_signoff,151,full,kernal_load,1,0,0,9,9,100,0,0,100,0,0
1541C,compat_signoff,170,full,turbo_disk,1,0,0,10,10,100,0,0,100,0,0
1541C,compat_signoff,185,full,fastload_v1,1,0,0,11,11,100,0,0,100,0,0
1541C,compat_signoff,201,full,fastload_v2,1,0,0,12,12,100,0,0,100,0,0
1541C,compat_signoff,218,full,custom_burst,1,0,0,13,13,100,0,0,100,0,0
1541C,compat_signoff,236,full,track_loader,1,0,0,14,14,100,0,0,100,0,0
1541C,compat_signoff,255,full,multi_stage,1,0,0,15,15,100,0,0,100,0,0
1541C,compat_signoff,270,full,irq_streamer,1,0,0,16,16,100,0,0,100,0,0
1541C,compat_signoff,286,fast,kernal_load,1,0,0,17,17,100,0,0,100,0,0
1541C,compat_signoff,303,fast,turbo_disk,1,0,0,18,18,100,0,0,100,0,0
1541C,compat_signoff,321,fast,fastload_v1,1,0,0,19,19,100,0,0,100,0,0
1541C,compat_signoff,340,fast,fastload_v2,1,0,0,20,20,100,0,0,100,0,0
1541C,compat_signoff,355,fast,custom_burst,1,0,0,21,21,100,0,0,100,0,0
1541C,compat_signoff,371,fast,track_loader,1,0,0,22,22,100,0,0,100,0,0
1541C,compat_signoff,388,fast,multi_stage,1,0,0,23,23,100,0,0,100,0,0
1541C,compat_signoff,406,fast,irq_streamer,1,0,0,24,24,100,0,0,100,0,0
1541II,compat_signoff,16,strict,kernal_load,1,0,0,1,1,100,0,0,100,0,0
1541II,compat_signoff,33,strict,turbo_disk,1,0,0,2,2,100,0,0,100,0,0
1541II,compat_signoff,51,strict,fastload_v1,1,0,0,3,3,100,0,0,100,0,0
1541II,compat_signoff,70,strict,fastload_v2,1,0,0,4,4,100,0,0,100,0,0
1541II,compat_signoff,90,strict,custom_burst,1,0,0,5,5,100,0,0,100,0,0
