rev,phase,rotation_tick,profile,loader,replay_window,stable,drift_regression,host_fallback,stable_rows,total_rows,stability_rate,drift_regressions,fallback_rows,w76_cross_profile_stability_rate,w76_loader_drift_regressions,w76_host_fallback_rows
1541,compat_drift,17,strict,kernal_load,1,1,0,0,1,1,100,0,0,100,0,0
1541,compat_drift,35,strict,turbo_disk,1,1,0,0,2,2,100,0,0,100,0,0
1541,compat_drift,54,strict,fastload_v1,1,1,0,0,3,3,100,0,0,100,0,0
1541,compat_drift,74,strict,fastload_v2,1,1,0,0,4,4,100,0,0,100,0,0
1541,compat_drift,91,strict,custom_burst,1,1,0,0,5,5,100,0,0,100,0,0
1541,compat_drift,110,strict,track_loader,2,1,0,0,6,6,100,0,0,100,0,0
1541,compat_drift,130,strict,multi_stage,2,1,0,0,7,7,100,0,0,100,0,0
1541,compat_drift,151,strict,irq_streamer,2,1,0,0,8,8,100,0,0,100,0,0
1541,compat_drift,169,full,kernal_load,2,1,0,0,9,9,100,0,0,100,0,0
1541,compat_drift,188,full,turbo_disk,2,1,0,0,10,10,100,0,0,100,0,0
1541,compat_drift,208,full,fastload_v1,2,1,0,0,11,11,100,0,0,100,0,0
1541,compat_drift,229,full,fastload_v2,2,1,0,0,12,12,100,0,0,100,0,0
1541,compat_drift,248,full,custom_burst,3,1,0,0,13,13,100,0,0,100,0,0
1541,compat_drift,268,full,track_loader,3,1,0,0,14,14,100,0,0,100,0,0
1541,compat_drift,289,full,multi_stage,3,1,0,0,15,15,100,0,0,100,0,0
1541,compat_drift,311,full,irq_streamer,3,1,0,0,16,16,100,0,0,100,0,0
1541,compat_drift,330,fast,kernal_load,3,1,0,0,17,17,100,0,0,100,0,0
1541,compat_drift,350,fast,turbo_disk,3,1,0,0,18,18,100,0,0,100,0,0
1541,compat_drift,371,fast,fastload_v1,3,1,0,0,19,19,100,0,0,100,0,0
1541,compat_drift,393,fast,fastload_v2,3,1,0,0,20,20,100,0,0,100,0,0
1541,compat_drift,413,fast,custom_burst,4,1,0,0,21,21,100,0,0,100,0,0
1541,compat_drift,434,fast,track_loader,4,1,0,0,22,22,100,0,0,100,0,0
1541,compat_drift,456,fast,multi_stage,4,1,0,0,23,23,100,0,0,100,0,0
1541,compat_drift,479,fast,irq_streamer,4,1,0,0,24,24,100,0,0,100,0,0
1541C,compat_drift,18,strict,kernal_load,1,1,0,0,1,1,100,0,0,100,0,0
