rev,phase,rotation_tick,profile,suite,corpus_rows,timing_tolerance,timing_regression,host_fallback,corpus_rows_covered,timing_regressions,fallback_rows,w77_real_corpus_coverage_rows,w77_loader_timing_regressions,w77_host_fallback_rows
1541,real_corpus_bridge,22,strict,kernal_baseline,4,1,0,0,4,0,0,4,0,0
1541,real_corpus_bridge,46,strict,fastloader_classic,5,1,0,0,9,0,0,9,0,0
1541,real_corpus_bridge,71,strict,fastloader_custom,5,1,0,0,14,0,0,14,0,0
1541,real_corpus_bridge,93,strict,irq_streamed,4,1,0,0,18,0,0,18,0,0
1541,real_corpus_bridge,116,full,kernal_baseline,4,1,0,0,22,0,0,22,0,0
1541,real_corpus_bridge,141,full,fastloader_classic,5,1,0,0,27,0,0,27,0,0
1541,real_corpus_bridge,164,full,fastloader_custom,5,1,0,0,32,0,0,32,0,0
1541,real_corpus_bridge,187,full,irq_streamed,4,1,0,0,36,0,0,36,0,0
1541,real_corpus_bridge,211,fast,kernal_baseline,4,1,0,0,40,0,0,40,0,0
1541,real_corpus_bridge,234,fast,fastloader_classic,5,1,0,0,45,0,0,45,0,0
1541,real_corpus_bridge,258,fast,fastloader_custom,5,1,0,0,50,0,0,50,0,0
1541,real_corpus_bridge,282,fast,irq_streamed,4,1,0,0,54,0,0,54,0,0
1541C,real_corpus_bridge,23,strict,kernal_baseline,4,1,0,0,4,0,0,4,0,0
1541C,real_corpus_bridge,48,strict,fastloader_classic,5,1,0,0,9,0,0,9,0,0
1541C,real_corpus_bridge,74,strict,fastloader_custom,5,1,0,0,14,0,0,14,0,0
1541C,real_corpus_bridge,97,strict,irq_streamed,4,1,0,0,18,0,0,18,0,0
1541C,real_corpus_bridge,121,full,kernal_baseline,4,1,0,0,22,0,0,22,0,0
1541C,real_corpus_bridge,147,full,fastloader_classic,5,1,0,0,27,0,0,27,0,0
1541C,real_corpus_bridge,171,full,fastloader_custom,5,1,0,0,32,0,0,32,0,0
1541C,real_corpus_bridge,195,full,irq_streamed,4,1,0,0,36,0,0,36,0,0
1541C,real_corpus_bridge,220,fast,kernal_baseline,4,1,0,0,40,0,0,40,0,0
1541C,real_corpus_bridge,244,fast,fastloader_classic,5,1,0,0,45,0,0,45,0,0
1541C,real_corpus_bridge,269,fast,fastloader_custom,5,1,0,0,50,0,0,50,0,0
1541C,real_corpus_bridge,294,fast,irq_streamed,4,1,0,0,54,0,0,54,0,0
1541II,real_corpus_bridge,24,strict,kernal_baseline,4,1,0,0,4,0,0,4,0,0
1541II,real_corpus_bridge,50,strict,fastloader_classic,5,1,0,0,9,0,0,9,0,0
1541II,real_corpus_bridge,77,strict,fastloader_custom,5,1,0,0,14,0,0,14,0,0
1541II,real_corpus_bridge,101,strict,irq_streamed,4,1,0,0,18,0,0,18,0,0
1541II,real_corpus_bridge,126,full,kernal_baseline,4,1,0,0,22,0,0,22,0,0
1541II,real_corpus_bridge,153,full,fastloader_classic,5,1,0,0,27,0,0,27,0,0
1541II,real_corpus_bridge,178,full,fastloader_custom,5,1,0,0,32,0,0,32,0,0
1541II,real_corpus_bridge,203,full,irq_streamed,4,1,0,0,36,0,0,36,0,0
1541II,real_corpus_bridge,229,fast,kernal_baseline,4,1,0,0,40,0,0,40,0,0
1541II,real_corpus_bridge,254,fast,fastloader_classic,5,1,0,0,45,0,0,45,0,0
1541II,real_corpus_bridge,280,fast,fastloader_custom,5,1,0,0,50,0,0,50,0,0
1541II,real_corpus_bridge,306,fast,irq_streamed,4,1,0,0,54,0,0,54,0,0
