rev,phase,rotation_tick,profile,image_path,format,image_exists,pass,timing_regression,host_fallback,corpus_coverage_rows,timing_regressions,fallback_rows,format_coverage_rows,w78_real_corpus_coverage_rows,w78_loader_timing_regressions,w78_host_fallback_rows,w78_format_coverage_rows
1541,real_disk_corpus,20,strict,roms/tsuit215/Disk1.d64,d64,1,1,0,0,1,0,0,1,1,0,0,1
1541,real_disk_corpus,41,strict,roms/tsuit215/Disk2.d64,d64,1,1,0,0,2,0,0,2,2,0,0,2
1541,real_disk_corpus,63,strict,roms/tsuit215/Disk3.d64,d64,1,1,0,0,3,0,0,3,3,0,0,3
1541,real_disk_corpus,86,strict,roms/tsuit215/Source1.d64,d64,1,1,0,0,4,0,0,4,4,0,0,4
1541,real_disk_corpus,110,full,roms/tsuit215/Source2.d64,d64,1,1,0,0,5,0,0,5,5,0,0,5
1541,real_disk_corpus,130,full,roms/tsuit215/Source3.d64,d64,1,1,0,0,6,0,0,6,6,0,0,6
1541,real_disk_corpus,151,full,roms/tsuit215/Source4.d64,d64,1,1,0,0,7,0,0,7,7,0,0,7
1541,real_disk_corpus,173,full,roms/tsuit215/Source5.d64,d64,1,1,0,0,8,0,0,8,8,0,0,8
1541,real_disk_corpus,196,fast,roms/tsuit215/Source6.d64,d64,1,1,0,0,9,0,0,9,9,0,0,9
1541C,real_disk_corpus,21,strict,roms/tsuit215/Disk1.d64,d64,1,1,0,0,1,0,0,1,1,0,0,1
1541C,real_disk_corpus,43,strict,roms/tsuit215/Disk2.d64,d64,1,1,0,0,2,0,0,2,2,0,0,2
1541C,real_disk_corpus,66,strict,roms/tsuit215/Disk3.d64,d64,1,1,0,0,3,0,0,3,3,0,0,3
1541C,real_disk_corpus,90,strict,roms/tsuit215/Source1.d64,d64,1,1,0,0,4,0,0,4,4,0,0,4
1541C,real_disk_corpus,115,full,roms/tsuit215/Source2.d64,d64,1,1,0,0,5,0,0,5,5,0,0,5
1541C,real_disk_corpus,136,full,roms/tsuit215/Source3.d64,d64,1,1,0,0,6,0,0,6,6,0,0,6
1541C,real_disk_corpus,158,full,roms/tsuit215/Source4.d64,d64,1,1,0,0,7,0,0,7,7,0,0,7
1541C,real_disk_corpus,181,full,roms/tsuit215/Source5.d64,d64,1,1,0,0,8,0,0,8,8,0,0,8
1541C,real_disk_corpus,205,fast,roms/tsuit215/Source6.d64,d64,1,1,0,0,9,0,0,9,9,0,0,9
1541II,real_disk_corpus,22,strict,roms/tsuit215/Disk1.d64,d64,1,1,0,0,1,0,0,1,1,0,0,1
1541II,real_disk_corpus,45,strict,roms/tsuit215/Disk2.d64,d64,1,1,0,0,2,0,0,2,2,0,0,2
1541II,real_disk_corpus,69,strict,roms/tsuit215/Disk3.d64,d64,1,1,0,0,3,0,0,3,3,0,0,3
1541II,real_disk_corpus,94,strict,roms/tsuit215/Source1.d64,d64,1,1,0,0,4,0,0,4,4,0,0,4
1541II,real_disk_corpus,120,full,roms/tsuit215/Source2.d64,d64,1,1,0,0,5,0,0,5,5,0,0,5
1541II,real_disk_corpus,142,full,roms/tsuit215/Source3.d64,d64,1,1,0,0,6,0,0,6,6,0,0,6
1541II,real_disk_corpus,165,full,roms/tsuit215/Source4.d64,d64,1,1,0,0,7,0,0,7,7,0,0,7
1541II,real_disk_corpus,189,full,roms/tsuit215/Source5.d64,d64,1,1,0,0,8,0,0,8,8,0,0,8
1541II,real_disk_corpus,214,fast,roms/tsuit215/Source6.d64,d64,1,1,0,0,9,0,0,9,9,0,0,9
