rev,phase,rotation_tick,format,available,required,format_pass,timing_regression,host_fallback,coverage_rows,timing_regressions,fallback_rows,hard_format_pass_rows,raw_flux_coverage_rows,w79_real_hard_corpus_rows,w79_loader_timing_regressions,w79_host_fallback_rows,w79_hard_format_pass_rows,w79_raw_flux_coverage_rows
1541,real_hard_corpus,22,g64,7,7,1,0,0,7,0,0,1,0,7,0,0,1,0
1541,real_hard_corpus,45,nib,7,7,1,0,0,14,0,0,2,0,14,0,0,2,0
1541,real_hard_corpus,69,d64,1,1,1,0,0,15,0,0,3,0,15,0,0,3,0
1541,real_hard_corpus,94,raw,168,160,1,0,0,183,0,0,4,168,183,0,0,4,168
1541C,real_hard_corpus,23,g64,7,7,1,0,0,7,0,0,1,0,7,0,0,1,0
1541C,real_hard_corpus,47,nib,7,7,1,0,0,14,0,0,2,0,14,0,0,2,0
1541C,real_hard_corpus,72,d64,1,1,1,0,0,15,0,0,3,0,15,0,0,3,0
1541C,real_hard_corpus,98,raw,168,160,1,0,0,183,0,0,4,168,183,0,0,4,168
1541II,real_hard_corpus,24,g64,7,7,1,0,0,7,0,0,1,0,7,0,0,1,0
1541II,real_hard_corpus,49,nib,7,7,1,0,0,14,0,0,2,0,14,0,0,2,0
1541II,real_hard_corpus,75,d64,1,1,1,0,0,15,0,0,3,0,15,0,0,3,0
1541II,real_hard_corpus,102,raw,168,160,1,0,0,183,0,0,4,168,183,0,0,4,168
