rev,phase,rotation_tick,case_tag,pass,mustpass_rows,flux_ingest_behavior_rows,flux_weak_halftrack_rows,flux_syncloss_rows,write_e2e_rows,error_dos_parity_rows,soak_batch_pass_rows,release_checklist_rows,host_fallback_rows,w80_mustpass_rows,w80_flux_ingest_behavior_rows,w80_flux_weak_halftrack_rows,w80_flux_syncloss_rows,w80_write_e2e_rows,w80_error_dos_parity_rows,w80_soak_batch_pass_rows,w80_release_checklist_rows,w80_host_fallback_rows
1541,release_readiness,24,d64_tester,1,1,168,12,9,0,0,0,0,0,1,168,12,9,0,0,0,0,0
1541,release_readiness,49,g64_db,1,2,168,12,9,0,0,0,0,0,2,168,12,9,0,0,0,0,0
1541,release_readiness,75,nib_db,1,3,168,12,9,0,0,0,0,0,3,168,12,9,0,0,0,0,0
1541,release_readiness,102,vic1541_g64,1,4,168,12,9,6,0,0,0,0,4,168,12,9,6,0,0,0,0
1541,release_readiness,130,vic1541_nib0,1,5,168,12,9,6,8,0,0,0,5,168,12,9,6,8,0,0,0
1541,release_readiness,159,vic1541_nib1,1,6,168,12,9,6,8,24,10,0,6,168,12,9,6,8,24,10,0
1541C,release_readiness,25,d64_tester,1,1,168,12,9,0,0,0,0,0,1,168,12,9,0,0,0,0,0
1541C,release_readiness,51,g64_db,1,2,168,12,9,0,0,0,0,0,2,168,12,9,0,0,0,0,0
1541C,release_readiness,78,nib_db,1,3,168,12,9,0,0,0,0,0,3,168,12,9,0,0,0,0,0
1541C,release_readiness,106,vic1541_g64,1,4,168,12,9,6,0,0,0,0,4,168,12,9,6,0,0,0,0
1541C,release_readiness,135,vic1541_nib0,1,5,168,12,9,6,8,0,0,0,5,168,12,9,6,8,0,0,0
1541C,release_readiness,165,vic1541_nib1,1,6,168,12,9,6,8,24,10,0,6,168,12,9,6,8,24,10,0
1541II,release_readiness,26,d64_tester,1,1,168,12,9,0,0,0,0,0,1,168,12,9,0,0,0,0,0
1541II,release_readiness,53,g64_db,1,2,168,12,9,0,0,0,0,0,2,168,12,9,0,0,0,0,0
1541II,release_readiness,81,nib_db,1,3,168,12,9,0,0,0,0,0,3,168,12,9,0,0,0,0,0
1541II,release_readiness,110,vic1541_g64,1,4,168,12,9,6,0,0,0,0,4,168,12,9,6,0,0,0,0
1541II,release_readiness,140,vic1541_nib0,1,5,168,12,9,6,8,0,0,0,5,168,12,9,6,8,0,0,0
1541II,release_readiness,171,vic1541_nib1,1,6,168,12,9,6,8,24,10,0,6,168,12,9,6,8,24,10,0
