rev,phase,rotation_tick,flux_file,side1,weak_halftrack_observed,syncloss_recovered,loader_timing_parity_runs,loader_timing_parity_mismatches,flux_behavior_pass,flux_samples,weak_halftrack_observed_rows,syncloss_recovery_rows,loader_timing_parity_runs_rows,loader_timing_parity_mismatch_rows,flux_behavior_pass_rows,w81_flux_samples,w81_weak_halftrack_observed_rows,w81_syncloss_recovery_rows,w81_loader_timing_parity_runs,w81_loader_timing_parity_mismatch_rows,w81_flux_behavior_pass_rows
1541,flux_behavior,26,_00.0.raw,0,1,1,3,0,1,1,1,1,3,0,1,1,1,1,3,0,1
1541,flux_behavior,53,_00.1.raw,1,1,0,3,0,1,2,2,1,6,0,2,2,2,1,6,0,2
1541,flux_behavior,81,_01.0.raw,0,0,0,3,0,1,3,2,1,9,0,3,3,2,1,9,0,3
1541,flux_behavior,110,_01.1.raw,1,1,0,3,0,1,4,3,1,12,0,4,4,3,1,12,0,4
1541,flux_behavior,140,_02.0.raw,0,0,0,3,0,1,5,3,1,15,0,5,5,3,1,15,0,5
1541,flux_behavior,171,_02.1.raw,1,1,0,3,0,1,6,4,1,18,0,6,6,4,1,18,0,6
1541,flux_behavior,203,_03.0.raw,0,1,0,3,0,1,7,5,1,21,0,7,7,5,1,21,0,7
1541,flux_behavior,229,_03.1.raw,1,1,0,3,0,1,8,6,1,24,0,8,8,6,1,24,0,8
1541,flux_behavior,256,_04.0.raw,0,0,0,3,0,1,9,6,1,27,0,9,9,6,1,27,0,9
1541,flux_behavior,284,_04.1.raw,1,1,1,3,0,1,10,7,2,30,0,10,10,7,2,30,0,10
1541,flux_behavior,313,_05.0.raw,0,0,0,3,0,1,11,7,2,33,0,11,11,7,2,33,0,11
1541,flux_behavior,343,_05.1.raw,1,1,0,3,0,1,12,8,2,36,0,12,12,8,2,36,0,12
1541,flux_behavior,374,_06.0.raw,0,1,0,3,0,1,13,9,2,39,0,13,13,9,2,39,0,13
1541,flux_behavior,406,_06.1.raw,1,1,0,3,0,1,14,10,2,42,0,14,14,10,2,42,0,14
1541,flux_behavior,432,_07.0.raw,0,0,0,3,0,1,15,10,2,45,0,15,15,10,2,45,0,15
1541,flux_behavior,459,_07.1.raw,1,1,0,3,0,1,16,11,2,48,0,16,16,11,2,48,0,16
1541,flux_behavior,487,_08.0.raw,0,0,0,3,0,1,17,11,2,51,0,17,17,11,2,51,0,17
1541,flux_behavior,516,_08.1.raw,1,1,0,3,0,1,18,12,2,54,0,18,18,12,2,54,0,18
